captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.86433.first,candidates.86433.last,candidates.86433.party,candidates.86433.candidateID,candidates.86433.ballotOrder,candidates.86433.polID,candidates.86433.polNum,candidates.86433.electWon,candidates.86738.first,candidates.86738.last,candidates.86738.party,candidates.86738.candidateID,candidates.86738.ballotOrder,candidates.86738.polID,candidates.86738.polNum,candidates.86738.electWon,candidates.87239.first,candidates.87239.last,candidates.87239.party,candidates.87239.candidateID,candidates.87239.ballotOrder,candidates.87239.polID,candidates.87239.polNum,candidates.87239.electWon,candidates.86433.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 10,10,230571,99,0,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,230571,99,63605,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,230571,99,62329,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,230571,99,79272,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,2022-11-09T02:18:18.917Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,230571,99,87162,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,2022-11-09T02:18:18.917Z
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,230571,99,96803,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,2022-11-09T02:18:18.917Z
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,230571,99,113128,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,2022-11-09T02:18:18.917Z
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,230571,99,106418,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,2022-11-09T02:18:18.917Z
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,230571,99,126617,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,2022-11-09T02:18:18.917Z
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 10,10,230571,99,160944,12359054,True,20221108NY36590,2022-11-08,NY,Daniel,Goldman,Dem,86433,1,71431,55609,0,Benine,Hamdan,GOP,86738,2,71435,55709,0,Steve,Speer,Oth,87239,4,36590,55766,0,2022-11-09T02:18:18.917Z
