captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23466.first,candidates.23466.last,candidates.23466.party,candidates.23466.candidateID,candidates.23466.ballotOrder,candidates.23466.polID,candidates.23466.polNum,candidates.23466.electWon,candidates.23467.first,candidates.23467.last,candidates.23467.incumbent,candidates.23467.party,candidates.23467.candidateID,candidates.23467.ballotOrder,candidates.23467.polID,candidates.23467.polNum,candidates.23467.electWon,candidates.23467.winnerDateTime,isCertified
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4393887,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667975319,2022-11-09 00:28:39 -0600,7d24d010dbc95f183b9e815a9f6c12b55b48ad99,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4445268,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667975361,2022-11-09 00:29:21 -0600,d37d846c431e83eb6217de33215cf28365760117,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4405569,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667975402,2022-11-09 00:30:02 -0600,1cb740bfe02888499fbb239b5454758b24512913,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4445268,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667976184,2022-11-09 00:43:04 -0600,fe83a024be41b5416de8f3b3aadef0173027df04,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4535057,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667976387,2022-11-09 00:46:27 -0600,3fc81e357a75429f605eafd56848166989ceb407,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4521414,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667976427,2022-11-09 00:47:07 -0600,37543865b42fa093eb6d12d5468203ace58ae06d,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4535057,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667976467,2022-11-09 00:47:47 -0600,32bb8c730464b2ab549dbe977eea353741198772,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4521414,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667976507,2022-11-09 00:48:27 -0600,209b6e99763633b1f7b84bb7726e9e7d3ee0aee1,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4535057,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667976954,2022-11-09 00:55:54 -0600,b26423d65e9f21df9fee7b50d1d50f05b43eb8df,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4573662,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667976996,2022-11-09 00:56:36 -0600,c42ff185ff10da6e900ee98d629248349a3fcfdc,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4535057,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667977035,2022-11-09 00:57:15 -0600,89983779edad63b3a09a72677c82618581111910,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4573662,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667977812,2022-11-09 01:10:12 -0600,f6003f8f022049fc0501c9f6d634893d3cdbfc16,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4642663,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667978502,2022-11-09 01:21:42 -0600,3a9aa1fa129e28027260f73511b9ecad38e5231d,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4645992,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667978704,2022-11-09 01:25:04 -0600,063886ef628b03936d6bad5059dd21f00c0a4b43,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4657896,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667979514,2022-11-09 01:38:34 -0600,3beafacc3bafd5d436073bbd9a0ee742070d2376,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4659029,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
1667979647,2022-11-09 01:40:47 -0600,7abb1af5d8a57363e01f3459ad06df304ed6bc82,CA-20221108_Eday80,5,Special General,G,Active Tabulation,Called,S,U.S. Senate,Alex,Padilla,Dem,23467,69672,11142,True,True,2016,2,13750000,90,4748133,21885545,True,20221108CA8964,2022-11-08,CA,23467,Mark,Meuser,GOP,23466,2,70682,11878,0,Alex,Padilla,True,Dem,23467,1,69672,11142,0,2022-11-09T04:31:17.291Z,
