captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.38902.first,candidates.38902.last,candidates.38902.abbrv,candidates.38902.incumbent,candidates.38902.party,candidates.38902.candidateID,candidates.38902.ballotOrder,candidates.38902.polID,candidates.38902.polNum,candidates.38902.electWon,candidates.39227.first,candidates.39227.last,candidates.39227.abbrv,candidates.39227.party,candidates.39227.candidateID,candidates.39227.ballotOrder,candidates.39227.polID,candidates.39227.polNum,candidates.39227.electWon,candidates.38902.winnerDateTime
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,229237,98,150178,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667968182,2022-11-08 22:29:42 -0600,8e189a9f8e65ddc0a78641bf1d30b4fa1f53a113,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,250419,98,151771,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667969067,2022-11-08 22:44:27 -0600,73d0e74cb03400217dbc75a62135f42bc460c502,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,248834,98,161291,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667969897,2022-11-08 22:58:17 -0600,4cc79ac7abd56ff5901adb554fdccc45c88f1310,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,248834,98,167697,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667970681,2022-11-08 23:11:21 -0600,dd69cd860a28762a05e9344e662f63641aef1dd4,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,180329,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667971571,2022-11-08 23:26:11 -0600,d2379320e55d7c8b235939474aad516c1cf9a83b,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,184139,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667972427,2022-11-08 23:40:27 -0600,ae4901446f849f3ab62f6a79323d475c59ad0832,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,189168,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667973248,2022-11-08 23:54:08 -0600,fb954f3a0e354e923f1bd778e51927737d2c1332,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,193183,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667975072,2022-11-09 00:24:32 -0600,1160439825d46dbd816d3f7122a5cf79a867a03f,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,208160,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
1667976793,2022-11-09 00:53:13 -0600,7515b93a49bab04bb1ffa2b33ffbefeb766086e0,NM-20221108_Eday80,32,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,254878,98,219322,675890,True,20221108NM32052,2022-11-08,NM,38902,Teresa,Leger Fernandez,LgrFrnn,True,Dem,38902,2,68488,34862,0,Alexis,Martinez Johnson,MrtnzJh,GOP,39227,1,68490,34869,0,2022-11-09T03:51:31.514Z
