captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.58704.first,candidates.58704.last,candidates.58704.party,candidates.58704.candidateID,candidates.58704.ballotOrder,candidates.58704.polID,candidates.58704.polNum,candidates.58704.electWon,candidates.58709.first,candidates.58709.last,candidates.58709.incumbent,candidates.58709.party,candidates.58709.candidateID,candidates.58709.ballotOrder,candidates.58709.polID,candidates.58709.polNum,candidates.58709.electWon,candidates.59160.first,candidates.59160.last,candidates.59160.abbrv,candidates.59160.party,candidates.59160.candidateID,candidates.59160.ballotOrder,candidates.59160.polID,candidates.59160.polNum,candidates.59160.electWon,candidates.58709.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,WV-20221108_Eday80,49,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,262891,99,0,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,WV-20221108_Eday80,49,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,0,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,WV-20221108_Eday80,49,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,0,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,WV-20221108_Eday80,49,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,11762,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,WV-20221108_Eday80,49,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,12011,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,WV-20221108_Eday80,49,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,32609,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,WV-20221108_Eday80,49,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,38449,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,WV-20221108_Eday80,49,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,46305,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,WV-20221108_Eday80,49,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,69788,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,WV-20221108_Eday80,49,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,79276,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,WV-20221108_Eday80,49,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,264207,99,96520,756195,True,20221108WV49273,2022-11-08,WV,58709,Lacy,Watson,Dem,58704,3,68635,52700,0,Carol,Miller,True,GOP,58709,2,47557,51277,0,Belinda,Fox-Spencer,Foxsp,Ind,59160,1,71812,53609,0,
