captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.7010.first,candidates.7010.last,candidates.7010.incumbent,candidates.7010.party,candidates.7010.candidateID,candidates.7010.ballotOrder,candidates.7010.polID,candidates.7010.polNum,candidates.7010.electWon,candidates.7716.first,candidates.7716.last,candidates.7716.abbrv,candidates.7716.party,candidates.7716.candidateID,candidates.7716.ballotOrder,candidates.7716.polID,candidates.7716.polNum,candidates.7716.electWon,candidates.7010.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,KS-20221108_Eday80,17,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,245138,99,0,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,KS-20221108_Eday80,17,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,245103,99,0,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,245103,99,7658,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,245103,99,82014,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,245103,99,7766,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,245103,99,82014,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,244382,99,82014,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,230331,99,145511,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,230331,99,145958,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,230331,99,145511,613026,True,20221108KS17720,2022-11-08,KS,7010,Ron,Estes,True,GOP,7010,2,65853,19910,0,Bob,Hernandez,Hernandz,Dem,7716,1,71262,20689,0,
