captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.6207.first,candidates.6207.last,candidates.6207.party,candidates.6207.candidateID,candidates.6207.ballotOrder,candidates.6207.polID,candidates.6207.polNum,candidates.6207.electWon,candidates.6226.first,candidates.6226.last,candidates.6226.party,candidates.6226.candidateID,candidates.6226.ballotOrder,candidates.6226.polID,candidates.6226.polNum,candidates.6226.electWon,candidates.6431.first,candidates.6431.last,candidates.6431.party,candidates.6431.candidateID,candidates.6431.ballotOrder,candidates.6431.polID,candidates.6431.polNum,candidates.6431.electWon,candidates.6432.first,candidates.6432.last,candidates.6432.party,candidates.6432.candidateID,candidates.6432.ballotOrder,candidates.6432.polID,candidates.6432.polNum,candidates.6432.electWon,candidates.6433.first,candidates.6433.last,candidates.6433.party,candidates.6433.candidateID,candidates.6433.ballotOrder,candidates.6433.polID,candidates.6433.polNum,candidates.6433.electWon,candidates.6207.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OR-20221108_Eday80,38,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,99,0,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OR-20221108_Eday80,38,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,0,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,OR-20221108_Eday80,38,General,G,Polls Closed/Waiting First Report,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,0,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,661901,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667968316,2022-11-08 22:31:56 -0600,c7364a5d7197a125b098705a317e32ff0afe0f57,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,1005681,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667969116,2022-11-08 22:45:16 -0600,79682069eac6cae3840febac265b40363b9c51ff,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,1024658,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667970071,2022-11-08 23:01:11 -0600,dbae837cbbaf1f3aaf9390e6aaa3521af778ad97,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,1026385,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667970461,2022-11-08 23:07:41 -0600,7d669d180641a9a00e537201f92d2f70ea120169,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,1190346,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667971258,2022-11-08 23:20:58 -0600,66df93c53186cc5d338c8a4f0b94d8e859c4ec59,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,1191777,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
1667972126,2022-11-08 23:35:26 -0600,617b070692e7bea69906440bb1aebd1bfcb3a90b,OR-20221108_Eday80,38,General,G,Active Tabulation,Too Early to Call,G,Governor,Kate,Brown,Brown,Dem,5162,57502,38647,True,True,True,2175000,90,1191853,2976195,True,20221108OR38019,2022-11-08,OR,Tina,Kotek,Dem,6207,1,70205,39975,0,Christine,Drazan,GOP,6226,5,70218,41030,0,Donice,Smith,CST,6431,2,71784,41429,0,Leon,Noble,Lib,6432,3,71785,41430,0,Betsy,Johnson,NPA,6433,4,57453,39149,0,,
