captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.19971.first,candidates.19971.last,candidates.19971.abbrv,candidates.19971.party,candidates.19971.incumbent,candidates.19971.candidateID,candidates.19971.polID,candidates.19971.ballotOrder,candidates.19971.polNum,candidates.19971.electWon,candidates.22670.first,candidates.22670.last,candidates.22670.party,candidates.22670.candidateID,candidates.22670.polID,candidates.22670.ballotOrder,candidates.22670.polNum,candidates.22670.electWon,candidates.19971.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,GA-20221108_Eday62,11,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 11,11,376922,99,0,712762,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,GA-20221108_Eday81,11,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,0,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,0,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,48240,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,88389,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,184578,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,195613,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,206868,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,252832,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,254419,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,256549,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,GA-20221108_Eday81,11,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 11,11,360889,99,258047,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,360889,99,267770,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,291911,99,277765,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,336218,99,277765,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
1667969248,2022-11-08 22:47:28 -0600,22d8758416ee8e5b986d6c680c79fc8b3c4bdaaf,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,336218,99,278273,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
1667970114,2022-11-08 23:01:54 -0600,68b6dbb0ab0b313af53b82f98636ce9a824bdc54,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,336218,99,278404,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
1667972718,2022-11-08 23:45:18 -0600,82050e33466e239ff80fc50a65e5e86526b235c1,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,292648,99,285997,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
1667973648,2022-11-09 00:00:48 -0600,56d1333c268e0ca83267f304bc7ebda9b0c770b6,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,293716,99,285997,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
1667975443,2022-11-09 00:30:43 -0600,d3fce30549290fb6ab466f77998222999d6c79b9,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,293716,99,289181,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
1667976306,2022-11-09 00:45:06 -0600,a65306ebcf7e41c11b1557bbe78229c6107820ce,GA-20221108_Eday81,11,General,G,Active Tabulation,Called,H,U.S. House,True,District 11,11,293716,99,289903,713126,True,20221108GA11610,2022-11-08,GA,19971,Barry,Loudermilk,Lodrmlk,GOP,True,19971,63369,1,14209,0,Antonio,Daza,Dem,22670,70810,2,16016,0,2022-11-09T03:23:54.423Z
