captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.62934.first,candidates.62934.last,candidates.62934.abbrv,candidates.62934.party,candidates.62934.candidateID,candidates.62934.polID,candidates.62934.ballotOrder,candidates.62934.polNum,candidates.62934.electWon,candidates.63480.first,candidates.63480.last,candidates.63480.party,candidates.63480.candidateID,candidates.63480.polID,candidates.63480.ballotOrder,candidates.63480.polNum,candidates.63480.electWon,candidates.63481.first,candidates.63481.last,candidates.63481.party,candidates.63481.candidateID,candidates.63481.polID,candidates.63481.ballotOrder,candidates.63481.polNum,candidates.63481.electWon,candidates.63480.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,297014,99,0,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,0,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,0,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,179070,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,192366,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,179070,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,192366,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,192366,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,2022-11-09T01:50:39.373Z,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,194502,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,2022-11-09T01:50:39.373Z,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,197074,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,2022-11-09T01:50:39.373Z,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,203568,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,2022-11-09T01:50:39.373Z,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,207096,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,2022-11-09T01:50:39.373Z,
1667967636,2022-11-08 22:20:36 -0600,1bed774242ed32fb5f86bc6fed50c68740cf5631,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"NE, Collin/Dallas subs",True,District 3,3,287803,99,216866,744341,True,20221108TX45873,2022-11-08,TX,Sandeep,Srivastava,Srivastv,Dem,62934,69810,3,53013,0,Keith,Self,GOP,63480,43333,2,52906,0,Christopher,Claytor,Lib,63481,344,1,52332,0,2022-11-09T01:50:39.373Z,
