captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56623.first,candidates.56623.last,candidates.56623.abbrv,candidates.56623.party,candidates.56623.incumbent,candidates.56623.candidateID,candidates.56623.polID,candidates.56623.ballotOrder,candidates.56623.polNum,candidates.56623.electWon,candidates.62856.first,candidates.62856.last,candidates.62856.party,candidates.62856.candidateID,candidates.62856.polID,candidates.62856.ballotOrder,candidates.62856.polNum,candidates.62856.electWon,candidates.63488.first,candidates.63488.last,candidates.63488.party,candidates.63488.candidateID,candidates.63488.polID,candidates.63488.ballotOrder,candidates.63488.polNum,candidates.63488.electWon,candidates.63489.first,candidates.63489.last,candidates.63489.party,candidates.63489.candidateID,candidates.63489.polID,candidates.63489.ballotOrder,candidates.63489.polNum,candidates.63489.electWon,candidates.56623.winnerDateTime
1667981404,2022-11-09 02:10:04 -0600,e09740c31d10d15245b40b33933c939d855e3457,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,112087,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667981443,2022-11-09 02:10:43 -0600,7cffe27ed1e74c6f72f6bbb8eb945d7366a075bf,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,108530,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667981483,2022-11-09 02:11:23 -0600,71b7e139fa561afc8a43f66a3db53706a14f3cc6,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,112087,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667984482,2022-11-09 03:01:22 -0600,5c66e8f8bf216c8c04bb7dfe44cfd67b3ea5a2ba,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,119530,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667987643,2022-11-09 03:54:03 -0600,f798a1f9c8d4d3a3f69f26fb63de81045062e5fc,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,128263,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667987724,2022-11-09 03:55:24 -0600,e2b744a1d315e0b0cd2e8cf8e84b4bbaa0ecd42c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,119530,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667987766,2022-11-09 03:56:06 -0600,0c97af721e07528c29c550b7bce84d073343534b,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,128263,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667990125,2022-11-09 04:35:25 -0600,575f474da52ac9ed8d1a366d90afd59a4bdc22ae,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,141335,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667992717,2022-11-09 05:18:37 -0600,3767d4897586b8706ca9fa28076ad047ae2b0382,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,168256,99,141335,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667993474,2022-11-09 05:31:14 -0600,2adc368f4e7a01745fdf88c4016980b717453551,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,166276,99,141335,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667994349,2022-11-09 05:45:49 -0600,e8d7897d88921add83813b08df4a39fd5098befe,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,166276,99,154056,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667995991,2022-11-09 06:13:11 -0600,5e8f17747cd014c66d6629fde12e2ebb35517625,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,165652,99,154056,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667996030,2022-11-09 06:13:50 -0600,4c3e550975c316be14dbc1bf8dfd513204d39d72,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,166276,99,154056,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667996070,2022-11-09 06:14:30 -0600,9a70a1aae2765cd9a1b05877084cc0d5efa0a61a,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,165652,99,154056,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1668010161,2022-11-09 10:09:21 -0600,dcb18984e62889df1882515931115f8398eb2423,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,165652,99,154689,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1668050979,2022-11-09 21:29:39 -0600,f425413f08ed8ab4de6513fa1005eaa190f18ac1,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,165652,99,155346,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1668095349,2022-11-10 09:49:09 -0600,c25a619fa8d49f6ebbdbad9407b7b679a16279c3,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,158516,99,155346,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1668124774,2022-11-10 17:59:34 -0600,fe13f64ac6086b0e7fe8bd699826ad2d61a8961c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,158516,99,155526,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1668144937,2022-11-10 23:35:37 -0600,5e9adabeef1a877df06fab84690acea82cdbb08d,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,157097,99,155526,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
