captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.56623.first,candidates.56623.last,candidates.56623.abbrv,candidates.56623.party,candidates.56623.incumbent,candidates.56623.candidateID,candidates.56623.polID,candidates.56623.ballotOrder,candidates.56623.polNum,candidates.56623.electWon,candidates.62856.first,candidates.62856.last,candidates.62856.party,candidates.62856.candidateID,candidates.62856.polID,candidates.62856.ballotOrder,candidates.62856.polNum,candidates.62856.electWon,candidates.63488.first,candidates.63488.last,candidates.63488.party,candidates.63488.candidateID,candidates.63488.polID,candidates.63488.ballotOrder,candidates.63488.polNum,candidates.63488.electWon,candidates.63489.first,candidates.63489.last,candidates.63489.party,candidates.63489.candidateID,candidates.63489.polID,candidates.63489.ballotOrder,candidates.63489.polNum,candidates.63489.electWon,candidates.56623.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Houston & North subs,True,District 18,18,272430,99,0,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,0,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,0,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,0,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,0,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,5893,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,102879,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,102879,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667970241,2022-11-08 23:04:01 -0600,d53bae4b64596045c97e6eb2ac077f70fc0cec78,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,103171,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667971921,2022-11-08 23:32:01 -0600,1ebecb55cb747fea463c7459ee81768ba8fae636,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,105799,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
1667975568,2022-11-09 00:32:48 -0600,0b16058e032a73c78e2e4b787403862608e151dd,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Houston & North subs,True,District 18,18,244737,99,108530,883754,True,20221108TX45888,2022-11-08,TX,56623,Sheila,Jackson Lee,Lee,Dem,True,56623,312,2,47104,0,Carmen,Montiel,GOP,62856,66073,4,52261,0,Phil,Kurtz,Lib,63488,67194,3,50436,0,Vince,Duncan,Ind,63489,64455,1,51488,0,2022-11-09T03:57:10.190Z
