captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10891.first,candidates.10891.last,candidates.10891.abbrv,candidates.10891.party,candidates.10891.candidateID,candidates.10891.polID,candidates.10891.ballotOrder,candidates.10891.polNum,candidates.10891.electWon,candidates.10894.first,candidates.10894.last,candidates.10894.party,candidates.10894.candidateID,candidates.10894.polID,candidates.10894.ballotOrder,candidates.10894.polNum,candidates.10894.electWon,candidates.11180.first,candidates.11180.last,candidates.11180.party,candidates.11180.candidateID,candidates.11180.polID,candidates.11180.ballotOrder,candidates.11180.polNum,candidates.11180.electWon,candidates.10894.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MO-20221108_Eday62,26,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,288769,99,0,656793,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MO-20221108_Eday80,26,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,430627,99,0,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,430627,99,0,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,430627,99,10921,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,430627,99,15768,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,430627,99,33665,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,430627,99,104703,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MO-20221108_Eday80,26,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,430627,99,148146,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,
1667967681,2022-11-08 22:21:21 -0600,21dcb165d821d41661e7c4d6fbcc7bfbb94326bb,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,430627,99,148146,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
1667967767,2022-11-08 22:22:47 -0600,d2b302ebb94fe21871c9483192bb3df9a98f2ac1,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,430627,99,152137,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,430627,99,200650,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
1667971213,2022-11-08 23:20:13 -0600,5f24f417653bba3396590267801436b107c31ac9,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,430627,99,225885,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
1667973692,2022-11-09 00:01:32 -0600,ace2173236427104569b3ce7a51ec8e19284acf6,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,430627,99,244801,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
1667983760,2022-11-09 02:49:20 -0600,4ed2d8add795cb81b92bf39e25df171a596e9b4c,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,430627,99,250878,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
1667983801,2022-11-09 02:50:01 -0600,f8dcd2921862fa8f2b18f478a2ad042ae3e8bf73,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,430627,99,244801,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
1667983841,2022-11-09 02:50:41 -0600,193695bfa5205d54cf0a283dfe143de9c0437045,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,430627,99,250878,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
1668034415,2022-11-09 16:53:35 -0600,b8794a6e2cccd07bf9cae51f1752d9fb6b3e9630,MO-20221108_Eday80,26,General,G,Active Tabulation,Called,H,U.S. House,True,District 7,7,253410,99,250878,607604,True,20221108MO26033,2022-11-08,MO,Kristen,Radaker-Sheafer,Rdkr-Sh,Dem,10891,71350,1,31731,0,Eric,Burlison,GOP,10894,71357,2,29684,0,Kevin,Craig,Lib,11180,50436,3,30240,0,2022-11-09T04:07:33.181Z
