captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,numRunoff,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.25324.first,candidates.25324.last,candidates.25324.incumbent,candidates.25324.party,candidates.25324.candidateID,candidates.25324.ballotOrder,candidates.25324.polID,candidates.25324.polNum,candidates.25353.first,candidates.25353.last,candidates.25353.party,candidates.25353.candidateID,candidates.25353.ballotOrder,candidates.25353.polID,candidates.25353.polNum,candidates.25354.first,candidates.25354.last,candidates.25354.party,candidates.25354.candidateID,candidates.25354.ballotOrder,candidates.25354.polID,candidates.25354.polNum,candidates.25324.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,LA-20221108_Eday80,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,2,266648,99,0,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,LA-20221108_Eday80,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 6,6,2,303974,99,0,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,LA-20221108_Eday80,19,Open Primary,X,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 6,6,2,303974,99,0,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,2,303974,99,19922,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,2,299802,99,58339,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,2,207884,99,117993,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,2,206149,99,138661,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 6,6,2,206140,99,162740,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 6,6,2,206140,99,162929,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,2022-11-09T04:05:33.223Z,
1667968138,2022-11-08 22:28:58 -0600,78be3d1941803188124b187362be51adf1e8fdfb,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 6,6,2,206140,99,201370,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,2022-11-09T04:05:33.223Z,
1667968974,2022-11-08 22:42:54 -0600,6782d2843c55794bd70cb628b0a71e22fe48f3f5,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 6,6,2,206140,99,202062,704389,True,20221108LA20561,2022-11-08,LA,25324,Garret,Graves,True,GOP,25324,3,64093,21642,Brian,Belzer,GOP,25353,1,71738,22316,Rufus,Craig,Lib,25354,2,50640,20995,2022-11-09T04:05:33.223Z,
