captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.22868.first,candidates.22868.last,candidates.22868.party,candidates.22868.candidateID,candidates.22868.polID,candidates.22868.ballotOrder,candidates.22868.polNum,candidates.22868.electWon,candidates.22870.first,candidates.22870.last,candidates.22870.party,candidates.22870.candidateID,candidates.22870.polID,candidates.22870.ballotOrder,candidates.22870.polNum,candidates.22870.electWon,isCertified,candidates.22868.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,355983,99,0,1313269,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,379134,99,0,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,0,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667967905,2022-11-08 22:25:05 -0600,7b53fc8cb8c53477e9f4fecf82fac92988ee5275,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,48205,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667968798,2022-11-08 22:39:58 -0600,a5f602864fc4763e8a6bc6f82d3436a01320e3bc,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,115519,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667971169,2022-11-08 23:19:29 -0600,a70df26f7f471d11543c24ba2a2ee8ee294f6f1b,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,115943,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667971657,2022-11-08 23:27:37 -0600,d29b633bc901fb24234e16251a717d43d2b1d6c1,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,116099,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667971699,2022-11-08 23:28:19 -0600,ab5f2b666bd1b9bf6989ccd1e80db43497d771dc,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,115943,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667971742,2022-11-08 23:29:02 -0600,928d948d0f0c53b13f9f2ca578d94ee9e3764e1c,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,116099,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667972986,2022-11-08 23:49:46 -0600,8b5a6bad408154143d5639ac38f52891382240a4,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,116104,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667973878,2022-11-09 00:04:38 -0600,dd0a2fb7e0a1ea86d312428fcf4c7c68541cc7da,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,116206,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667974269,2022-11-09 00:11:09 -0600,13a14ca127ca598b674838e5aa250bed9ab33b53,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,117916,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667974988,2022-11-09 00:23:08 -0600,5d6616b419546bd84ca0c06ee5a7a5389ea5fc67,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,119823,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667975898,2022-11-09 00:38:18 -0600,7609424c163438fd3cafbbf7ed6226754e52c1bd,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,120825,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
1667976713,2022-11-09 00:51:53 -0600,e706274cafb1c1dca67fd185b843624ee37dec41,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,379134,90,123555,1312970,True,20221108CA5693,2022-11-08,CA,Kevin,Kiley,GOP,22868,69756,2,12733,0,Kermit,Jones,Dem,22870,70596,1,13733,0,,
