captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.44647.first,candidates.44647.last,candidates.44647.incumbent,candidates.44647.party,candidates.44647.candidateID,candidates.44647.ballotOrder,candidates.44647.polID,candidates.44647.polNum,candidates.44647.electWon,candidates.46586.first,candidates.46586.last,candidates.46586.party,candidates.46586.candidateID,candidates.46586.ballotOrder,candidates.46586.polID,candidates.46586.polNum,candidates.46586.electWon,candidates.46795.first,candidates.46795.last,candidates.46795.party,candidates.46795.candidateID,candidates.46795.ballotOrder,candidates.46795.polID,candidates.46795.polNum,candidates.46795.electWon,candidates.46796.first,candidates.46796.last,candidates.46796.party,candidates.46796.candidateID,candidates.46796.ballotOrder,candidates.46796.polID,candidates.46796.polNum,candidates.46796.electWon,candidates.44647.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OK-20221108_Eday80,37,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,0,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,OK-20221108_Eday80,37,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,0,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,0,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,70830,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,242328,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,253366,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,245260,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,253366,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,558030,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,OK-20221108_Eday80,37,General,G,Active Tabulation,Called,S,U.S. Senate,James,Lankford,GOP,44647,61119,39868,True,True,True,1300000,99,581271,2286039,True,20221108OK38145,2022-11-08,OK,44647,James,Lankford,True,GOP,44647,2,61119,39868,0,Madison,Horn,Dem,46586,3,70952,41307,0,Kenneth,Blevins,Lib,46795,1,71694,41448,0,Michael,Delaney,Ind,46796,4,71691,41449,0,2022-11-09T01:00:04.280Z
