captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.21764.first,candidates.21764.last,candidates.21764.party,candidates.21764.incumbent,candidates.21764.candidateID,candidates.21764.polID,candidates.21764.ballotOrder,candidates.21764.polNum,candidates.21764.electWon,candidates.23267.first,candidates.23267.last,candidates.23267.party,candidates.23267.candidateID,candidates.23267.polID,candidates.23267.ballotOrder,candidates.23267.polNum,candidates.23267.electWon,candidates.23725.first,candidates.23725.last,candidates.23725.party,candidates.23725.candidateID,candidates.23725.polID,candidates.23725.ballotOrder,candidates.23725.polNum,candidates.23725.electWon,candidates.21764.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 17,17,329120,99,0,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 17,17,305170,99,0,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,358940,99,146167,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,FL-20221108_Eday80,10,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 17,17,358940,99,0,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,358940,99,146167,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667954061,2022-11-09 00:34:21 +0000,f42b15f4268586407ce223466d2394d526a81df4,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,358940,99,214750,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,358940,99,229144,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,358940,99,230840,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 17,17,376888,99,282307,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 17,17,376888,99,285523,915630,True,20221108FL10039,2022-11-08,FL,21764,Greg,Steube,GOP,True,21764,67645,3,13619,0,Andrea,Kale,Dem,23267,71601,1,15738,0,Theodore,Murray,NPA,23725,69618,2,15653,0,2022-11-09T01:23:29.906Z
