captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.20006.first,candidates.20006.last,candidates.20006.party,candidates.20006.candidateID,candidates.20006.polID,candidates.20006.ballotOrder,candidates.20006.polNum,candidates.20006.electWon,candidates.20045.first,candidates.20045.last,candidates.20045.party,candidates.20045.candidateID,candidates.20045.polID,candidates.20045.ballotOrder,candidates.20045.polNum,candidates.20045.electWon,candidates.20045.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,HI-20221108_Eday62,12,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,410386,99,0,780343,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,HI-20221108_Eday82,12,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,410386,99,0,780343,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,HI-20221108_Eday82,12,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,425000,99,0,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,,
1667970373,2022-11-08 23:06:13 -0600,3ea973c74a9585b2e944f9dd59e390b2b951b2cd,HI-20221108_Eday82,12,General,G,Polls Closed/Waiting First Report,Called,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,425000,99,0,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,2022-11-09T05:00:05.214Z,
1667975196,2022-11-09 00:26:36 -0600,e7c0ff159fd1c173ed3e565feb144ed98be0c89e,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,425000,99,307186,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,2022-11-09T05:00:05.214Z,
1667976875,2022-11-09 00:54:35 -0600,aef5a4a9a30b34f946f3098786ce9297f77ec589,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,398943,99,307186,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,2022-11-09T05:00:05.214Z,
1667980920,2022-11-09 02:02:00 -0600,d8dacf3ba7026ec4b78c9b6ae2fd53c41765fbd5,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,398943,99,348534,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,2022-11-09T05:00:05.214Z,
1668084735,2022-11-10 06:52:15 -0600,19f5dd72a6ff6b328d87c78862c34995f3482b96,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,398943,99,380803,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,2022-11-09T05:00:05.214Z,
1668085532,2022-11-10 07:05:32 -0600,36423900906276f5be4acbb8f397ca23b241b73d,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,398943,99,404394,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,2022-11-09T05:00:05.214Z,
1668086419,2022-11-10 07:20:19 -0600,46bbb96abbd9f85058a066af409a43a3dd7be1b9,HI-20221108_Eday82,12,General,G,Active Tabulation,Called,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,415312,99,411159,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,0.0,Josh,Green,Dem,20045,71471,1,13784,0.0,2022-11-09T05:00:05.214Z,
1670517066,2022-12-08 10:31:06 -0600,e6f40652340cd395a8ba5460ac82c0d0da92f137,HI-20221108_Eday82,12,General,G,Tabulation Paused,Called,G,Governor,David,Ige,Ige,Dem,18441,53396,12365,True,True,True,415312,99,411159,853874,True,20221108HI12480,2022-11-08,HI,Duke,Aiona,GOP,20006,13472,2,14389,,Josh,Green,Dem,20045,71471,1,13784,,2022-11-09T05:00:05.214Z,False
