captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.31183.first,candidates.31183.last,candidates.31183.incumbent,candidates.31183.party,candidates.31183.candidateID,candidates.31183.ballotOrder,candidates.31183.polID,candidates.31183.polNum,candidates.31183.electWon,candidates.31985.first,candidates.31985.last,candidates.31985.party,candidates.31985.candidateID,candidates.31985.ballotOrder,candidates.31985.polID,candidates.31985.polNum,candidates.31985.electWon,candidates.31990.first,candidates.31990.last,candidates.31990.party,candidates.31990.candidateID,candidates.31990.ballotOrder,candidates.31990.polID,candidates.31990.polNum,candidates.31990.electWon,candidates.31183.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NE-20221108_Eday80,28,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,257025,99,0,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257025,99,11610,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257025,99,17623,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257025,99,17801,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257025,99,28979,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257025,99,34048,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,257025,99,40147,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,256564,99,48018,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,NE-20221108_Eday80,28,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,256564,99,50989,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,2022-11-09T03:24:24.036Z
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,NE-20221108_Eday80,28,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,256564,99,58503,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,2022-11-09T03:24:24.036Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NE-20221108_Eday80,28,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,256564,99,82655,771757,True,20221108NE28384,2022-11-08,NE,31183,Adrian,Smith,True,GOP,31183,1,30010,29087,0,David,Else,Dem,31985,2,69978,30144,0,Mark,Elworth,LMN,31990,3,63451,29823,0,2022-11-09T03:24:24.036Z
