captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.30588.first,candidates.30588.last,candidates.30588.abbrv,candidates.30588.incumbent,candidates.30588.party,candidates.30588.candidateID,candidates.30588.ballotOrder,candidates.30588.polID,candidates.30588.polNum,candidates.30588.electWon,candidates.32135.first,candidates.32135.last,candidates.32135.party,candidates.32135.candidateID,candidates.32135.ballotOrder,candidates.32135.polID,candidates.32135.polNum,candidates.32135.electWon,candidates.30588.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MD-20221108_Eday80,21,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,0,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,MD-20221108_Eday80,21,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,0,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MD-20221108_Eday80,21,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,0,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,MD-20221108_Eday80,21,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,0,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,249,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,3697,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,13029,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,22036,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,23246,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MD-20221108_Eday80,21,General,G,Active Tabulation,Called,S,U.S. Senate,Chris,Van Hollen,Dem,30588,1066,23931,True,True,True,2350000,99,29997,3525000,True,20221108MD21744,2022-11-08,MD,30588,Chris,Van Hollen,VanHolln,True,Dem,30588,2,1066,23931,0,Chris,Chaffee,GOP,32135,3,63872,25461,0,2022-11-09T01:00:04.280Z,
