captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.31064.first,candidates.31064.last,candidates.31064.abbrv,candidates.31064.incumbent,candidates.31064.party,candidates.31064.candidateID,candidates.31064.ballotOrder,candidates.31064.polID,candidates.31064.polNum,candidates.31064.electWon,candidates.32678.first,candidates.32678.last,candidates.32678.party,candidates.32678.candidateID,candidates.32678.ballotOrder,candidates.32678.polID,candidates.32678.polNum,candidates.32678.electWon,candidates.31064.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MS-20221108_Eday80,25,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,204635,99,0,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,204635,99,5385,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,204635,99,13469,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,205717,99,35872,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,204527,99,23990,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,203530,99,48276,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,203666,99,60423,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,202359,99,62636,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,202359,99,68204,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,197973,99,69592,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191903,99,77207,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191903,99,81692,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,192473,99,82609,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,192878,99,84637,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667968798,2022-11-08 22:39:58 -0600,a5f602864fc4763e8a6bc6f82d3436a01320e3bc,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191159,99,89597,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667969681,2022-11-08 22:54:41 -0600,4488651d53a6ff54750765f807b5aba2e7544f5e,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191435,99,90060,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667970461,2022-11-08 23:07:41 -0600,7d669d180641a9a00e537201f92d2f70ea120169,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,191435,99,95829,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667973878,2022-11-09 00:04:38 -0600,dd0a2fb7e0a1ea86d312428fcf4c7c68541cc7da,MS-20221108_Eday80,25,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,189656,99,132655,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,
1667974399,2022-11-09 00:13:19 -0600,d8b138971a5b2dcea653b8ad14e8ae0ccdecaf13,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,189656,99,132655,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,2022-11-09T06:00:44.859Z
1668010412,2022-11-09 10:13:32 -0600,fe0811daba2f34ba72aa0fbcb6b7ac72fa000630,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,189656,99,139361,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,2022-11-09T06:00:44.859Z
1668016450,2022-11-09 11:54:10 -0600,4aa6c4007022e205d2fa1b19cd3d8be240cd3261,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,187657,99,144588,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,2022-11-09T06:00:44.859Z
1668024143,2022-11-09 14:02:23 -0600,e4b7a1e33b9683adcc751de2de4a871870778b81,MS-20221108_Eday80,25,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,187657,99,147583,916897,True,20221108MS25929,2022-11-08,MS,31064,Bennie,Thompson,Thompsn,True,Dem,31064,2,1335,26201,0,Brian,Flowers,GOP,32678,1,68420,28667,0,2022-11-09T06:00:44.859Z
