captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,candidates.5.candidateID,candidates.5.voteCount,candidates.5.votePct,candidates.6.candidateID,candidates.6.voteCount,candidates.6.votePct,candidates.7.candidateID,candidates.7.voteCount,candidates.7.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.colorIndex,candidates.0.winner,candidates.0.calledAt
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108LA20558,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-07T20:49:34.944Z,0,554,0.0,25322,0,0.0,25355,0,0.0,25341,0,0.0,25342,0,0.0,25343,0,0.0,25344,0,0.0,25345,0,0.0,25346,0,0.0,192723,99,0,740631,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108LA20558,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-08T19:34:19.453Z,0,554,0.0,25322,0,0.0,25355,0,0.0,25341,0,0.0,25342,0,0.0,25343,0,0.0,25344,0,0.0,25345,0,0.0,25346,0,0.0,272649,99,0,740631,0,0,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108LA20558,live,0.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:03:46.834Z,0,554,0.0,25322,0,0.0,25355,0,0.0,25341,0,0.0,25342,0,0.0,25343,0,0.0,25344,0,0.0,25345,0,0.0,25346,0,0.0,272649,99,0,740631,0,0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,20221108LA20558,live,11.47,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:25:14.820Z,0,554,0.0,25322,20400,65.25,25342,3482,11.14,25341,2980,9.53,25343,2818,9.01,25344,660,2.11,25346,382,1.22,25345,366,1.17,25355,176,0.56,272649,99,31264,740631,0,64,0.0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,20221108LA20558,live,11.47,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:45:31.508Z,0,554,0.0,25322,20400,65.25,25342,3482,11.14,25341,2980,9.53,25343,2818,9.01,25344,660,2.11,25346,382,1.22,25345,366,1.17,25355,176,0.56,272649,99,31264,740631,0,64,0.0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,20221108LA20558,live,29.08,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T02:59:15.458Z,154,554,27.8,25322,48343,60.98,25342,9513,12.0,25343,8773,11.07,25341,8669,10.94,25344,1414,1.78,25346,1296,1.63,25345,696,0.88,25355,571,0.72,272649,99,79275,740631,154,161,0.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,20221108LA20558,live,31.02,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:01:16.900Z,154,554,27.8,25322,51899,61.37,25342,10163,12.02,25343,9242,10.93,25341,9127,10.79,25344,1469,1.74,25346,1372,1.62,25345,709,0.84,25355,590,0.7,272649,99,84571,740631,154,172,0.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108LA20558,live,39.32,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:08:03.495Z,154,554,27.8,25322,51899,61.37,25342,10163,12.02,25343,9242,10.93,25341,9127,10.79,25344,1469,1.74,25346,1372,1.62,25345,709,0.84,25355,590,0.7,215064,99,84571,740631,154,218,0.0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,20221108LA20558,live,50.71,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:12:05.142Z,240,554,43.32,25322,71545,61.91,25342,13325,11.53,25341,13023,11.27,25343,12033,10.41,25344,1957,1.69,25346,1826,1.58,25345,1005,0.87,25355,845,0.73,227887,99,115559,740631,240,281,0.0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,20221108LA20558,live,64.42,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:24:53.845Z,306,554,55.23,25322,88898,62.65,25341,16226,11.43,25342,15601,10.99,25343,14159,9.98,25344,2421,1.71,25346,2233,1.57,25345,1294,0.91,25355,1073,0.76,220282,99,141905,740631,306,357,0.0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,20221108LA20558,live,67.52,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:26:28.729Z,327,554,59.03,25322,93911,63.14,25341,16770,11.28,25342,16145,10.86,25343,14611,9.82,25344,2535,1.7,25346,2299,1.55,25345,1338,0.9,25355,1117,0.75,220282,99,148726,740631,327,374,0.0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,20221108LA20558,live,78.2,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:35:04.596Z,393,554,70.94,25322,106952,63.95,25341,18490,11.06,25342,17759,10.62,25343,15715,9.4,25344,3004,1.8,25346,2521,1.51,25345,1542,0.92,25355,1269,0.76,213867,99,167252,740631,393,433,0.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,20221108LA20558,live,86.87,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T03:43:50.612Z,450,554,81.23,25322,118574,64.85,25341,19844,10.85,25342,18796,10.28,25343,16600,9.08,25344,3284,1.8,25346,2673,1.46,25345,1706,0.93,25355,1364,0.75,210473,99,182841,740631,450,481,0.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108LA20558,live,92.8,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:01:46.562Z,493,554,88.99,25322,127491,65.27,25341,20829,10.66,25342,19834,10.15,25343,17583,9.0,25344,3571,1.83,25346,2808,1.44,25345,1782,0.91,25355,1421,0.73,210473,99,195319,740631,493,514,0.0,X,2022-11-09T04:01:46.295Z
1667968002,2022-11-08 22:26:42 -0600,1235204137f0f06fe3cd4983951d9356477924c9,20221108LA20558,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:24:26.950Z,546,554,98.56,25322,142905,64.28,25341,24299,10.93,25342,23416,10.53,25343,20962,9.43,25344,3974,1.79,25346,3216,1.45,25345,1927,0.87,25355,1615,0.73,210473,99,222314,740631,546,548,0.0,X,2022-11-09T04:01:46.295Z
1667968047,2022-11-08 22:27:27 -0600,3febed665f84b6f0a9717d87750ee8049f50fab6,20221108LA20558,live,99.0,LA,Louisiana,19,1,2022-11-09T02:00:00.000Z,state,2022-11-09T04:26:27.749Z,547,554,98.74,25322,143197,64.29,25341,24333,10.92,25342,23469,10.54,25343,21001,9.43,25344,3981,1.79,25346,3222,1.45,25345,1934,0.87,25355,1615,0.73,210473,99,222752,740631,547,548,0.0,X,2022-11-09T04:01:46.295Z
