captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.86241.first,candidates.86241.last,candidates.86241.incumbent,candidates.86241.party,candidates.86241.candidateID,candidates.86241.ballotOrder,candidates.86241.polID,candidates.86241.polNum,candidates.86241.electWon,candidates.86938.first,candidates.86938.last,candidates.86938.party,candidates.86938.candidateID,candidates.86938.ballotOrder,candidates.86938.polID,candidates.86938.polNum,candidates.86938.electWon,candidates.86241.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday62,33,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6822438,99,0,12359054,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800000,99,0,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800000,99,508355,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800000,99,597410,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800000,99,882589,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800000,99,978686,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800000,99,1235492,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800000,99,1578736,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800000,99,1939566,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6800662,99,2189450,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6808700,99,2440133,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6809161,99,2662817,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6861399,99,3311461,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6866857,99,4363049,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667968622,2022-11-08 22:37:02 -0600,e74479d04a2cbc206da9d05d88b7661e84a5267c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6049439,99,4456167,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667969292,2022-11-08 22:48:12 -0600,27c0128769cb9950dd2d2f7b010376c6821eb8bd,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6049697,99,4748423,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667970199,2022-11-08 23:03:19 -0600,f4db6dd16c878356c43dd19f6d680eb5acf90d34,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6049697,99,4790752,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667970985,2022-11-08 23:16:25 -0600,458b8c029ed943a1966fd047ace4d102323e3185,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6057769,99,4851291,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667971879,2022-11-08 23:31:19 -0600,e58483b4fb47a48c624446a947423840f5e4d94b,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6057769,99,4916156,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667972634,2022-11-08 23:43:54 -0600,3031aa1b4c4f867ee3a729dc96e8d9a1d63eee32,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6057769,99,5271030,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667973512,2022-11-08 23:58:32 -0600,c5b8277525be0367964460ee9775326f5b2cc341,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6057769,99,5408198,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,2022-11-09T05:52:20.655Z,
1667973555,2022-11-08 23:59:15 -0600,574ef20eb007a0ff55ecd54e4003b61f517e06b5,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6057769,99,5271030,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,,
1667973648,2022-11-09 00:00:48 -0600,56d1333c268e0ca83267f304bc7ebda9b0c770b6,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6057769,99,5408198,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,2022-11-09T05:52:20.655Z,
1667974399,2022-11-09 00:13:19 -0600,d8b138971a5b2dcea653b8ad14e8ae0ccdecaf13,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,G,Governor,Kathy,Hochul,Hochul,Dem,86241,61285,52369,True,True,6057769,99,5422351,10200000,True,20221108NY39760,2022-11-08,NY,86241,Kathy,Hochul,True,Dem,86241,1,61285,52369,0.0,Lee,Zeldin,GOP,86938,2,59740,51894,0.0,2022-11-09T05:52:20.655Z,
