captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108CA8516,live,0.0,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-07T20:25:12.402Z,0,25614,0.0,22831,0,0.0,22839,0,0.0,13750000,99,0,22004006,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108CA8516,live,0.0,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-08T18:37:02.561Z,0,25614,0.0,22831,0,0.0,22839,0,0.0,13750000,99,0,21885545,0,0,,,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,20221108CA8516,live,0.0,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-08T23:16:02.398Z,0,25614,0.0,22831,0,0.0,22839,0,0.0,13750000,90,0,21885545,0,0,,,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,20221108CA8516,live,0.0,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T03:02:42.359Z,0,25614,0.0,22831,0,0.0,22839,0,0.0,13750000,90,0,21885545,0,0,,,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,20221108CA8516,live,0.0,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:00:20.906Z,0,25614,0.0,22831,0,0.0,22839,0,0.0,13750000,90,0,21885545,0,0,X,2022-11-09T04:00:13.484Z,0.0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,20221108CA8516,live,8.88,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:10:27.384Z,0,25614,0.0,22831,724555,59.37,22839,495885,40.63,13750000,90,1220440,21885545,0,2273,X,2022-11-09T04:00:13.484Z,0.0,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,20221108CA8516,live,10.88,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:17:42.843Z,345,25614,1.35,22831,893221,59.73,22839,602315,40.27,13750000,90,1495536,21885545,345,2786,X,2022-11-09T04:00:13.484Z,0.0,1.0
1667967862,2022-11-08 22:24:22 -0600,70f93394ffa370662e7d52b8ef52310baba3c929,20221108CA8516,live,10.88,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:19:26.294Z,345,25614,1.35,22831,893221,59.73,22839,602315,40.27,13750000,90,1495536,21885545,345,2786,X,2022-11-09T04:00:13.484Z,0.0,1.0
1667967905,2022-11-08 22:25:05 -0600,7b53fc8cb8c53477e9f4fecf82fac92988ee5275,20221108CA8516,live,13.71,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:23:43.398Z,345,25614,1.35,22831,1146718,60.85,22839,737888,39.15,13750000,90,1884606,21885545,345,3511,X,2022-11-09T04:00:13.484Z,0.0,1.0
1667967954,2022-11-08 22:25:54 -0600,ddd8cd55583cb4e51013ac431e84d23dc8167e7a,20221108CA8516,live,13.71,CA,California,5,1,2022-11-09T04:00:00.000Z,state,0,2022-11-09T04:24:58.479Z,345,25614,1.35,22831,1146718,60.85,22839,737888,39.15,13750000,90,1884606,21885545,345,3511,X,2022-11-09T04:00:13.484Z,0.0,1.0
