captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23101.last,candidates.23101.party,candidates.23101.candidateID,candidates.23101.polID,candidates.23101.ballotOrder,candidates.23101.polNum,candidates.23101.electWon,candidates.23102.last,candidates.23102.party,candidates.23102.candidateID,candidates.23102.polID,candidates.23102.ballotOrder,candidates.23102.polNum,candidates.23102.electWon,raceCallStatus,candidates.23102.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,GA-20221108_Eday62,11,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4686221,99,0,7000459,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,GA-20221108_Eday81,11,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,0,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,GA-20221108_Eday81,11,Ballot Issue,G,Polls Closed/Waiting First Report,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,0,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,GA-20221108_Eday81,11,Ballot Issue,G,Awaiting Poll Close,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,0,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,GA-20221108_Eday81,11,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,295086,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,GA-20221108_Eday81,11,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,1863,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,GA-20221108_Eday81,11,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,18612,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,GA-20221108_Eday81,11,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,520954,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,GA-20221108_Eday81,11,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,628804,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,GA-20221108_Eday81,11,Ballot Issue,G,Active Tabulation,I,Constitutional Amendment,Public Officials,True,True,1 - Suspend Pay for Indictment,0,4700000,99,653204,7054135,True,20221108GA12629,2022-11-08,GA,No,No,23101,3,2,11601,0,Yes,Yes,23102,2,1,11600,0,,
