captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.44227.first,candidates.44227.last,candidates.44227.party,candidates.44227.incumbent,candidates.44227.candidateID,candidates.44227.polID,candidates.44227.ballotOrder,candidates.44227.polNum,candidates.44227.electWon,candidates.47424.first,candidates.47424.last,candidates.47424.party,candidates.47424.candidateID,candidates.47424.polID,candidates.47424.ballotOrder,candidates.47424.polNum,candidates.47424.electWon,candidates.44227.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OH-20221108_Eday62,36,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,295067,99,0,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,OH-20221108_Eday80,36,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 9,9,287019,99,0,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,OH-20221108_Eday80,36,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 9,9,287019,99,0,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,287019,99,7652,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,287019,99,12439,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,287019,99,18859,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,287019,99,92158,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,286193,99,109812,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,286193,99,132732,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,286193,99,119013,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,294675,99,132732,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 9,9,285848,99,154462,1001458,True,20221108OH36031,2022-11-08,OH,44227,Marcy,Kaptur,Dem,True,44227,405,1,37023,0.0,J.R.,Majewski,GOP,47424,70118,2,42452,0.0,,
