captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.53119.first,candidates.53119.last,candidates.53119.abbrv,candidates.53119.party,candidates.53119.candidateID,candidates.53119.ballotOrder,candidates.53119.polID,candidates.53119.polNum,candidates.53119.electWon,candidates.53124.first,candidates.53124.last,candidates.53124.party,candidates.53124.candidateID,candidates.53124.ballotOrder,candidates.53124.polID,candidates.53124.polNum,candidates.53124.electWon,candidates.53524.first,candidates.53524.last,candidates.53524.party,candidates.53524.candidateID,candidates.53524.ballotOrder,candidates.53524.polID,candidates.53524.polNum,candidates.53524.electWon,candidates.53551.first,candidates.53551.last,candidates.53551.party,candidates.53551.candidateID,candidates.53551.ballotOrder,candidates.53551.polID,candidates.53551.polNum,candidates.53551.electWon,candidates.53552.first,candidates.53552.last,candidates.53552.party,candidates.53552.candidateID,candidates.53552.ballotOrder,candidates.53552.polID,candidates.53552.polNum,candidates.53552.electWon,candidates.53119.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5513811,99,0,8735712,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,99,0,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667946903,2022-11-08 22:35:03 +0000,cb1028268673c8c2a42a51ee33da39f10a4ad1c1,PA-20221108_Eday80,39,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,95,0,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,95,155130,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,95,218949,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,95,155130,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,95,218949,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,95,281047,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,95,259445,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,PA-20221108_Eday80,39,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Pat,Toomey,Toomey,GOP,49845,257,43965,True,True,True,5900000,95,371549,8795652,True,20221108PA39002,2022-11-08,PA,John,Fetterman,Fettermn,Dem,53119,1,64818,45115,0,Mehmet,Oz,GOP,53124,2,70038,46198,0,Erik,Gerhardt,Lib,53524,3,67955,46475,0,Richard,Weiss,Grn,53551,4,71640,46135,0,Daniel,Wassmer,Key,53552,5,71639,46134,0,,
