captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.12225.first,candidates.12225.last,candidates.12225.incumbent,candidates.12225.party,candidates.12225.candidateID,candidates.12225.ballotOrder,candidates.12225.polID,candidates.12225.polNum,candidates.12225.electWon,candidates.13887.first,candidates.13887.last,candidates.13887.party,candidates.13887.candidateID,candidates.13887.ballotOrder,candidates.13887.polID,candidates.13887.polNum,candidates.13887.electWon,candidates.14102.first,candidates.14102.last,candidates.14102.abbrv,candidates.14102.party,candidates.14102.candidateID,candidates.14102.ballotOrder,candidates.14102.polID,candidates.14102.polNum,candidates.14102.electWon,candidates.12225.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,347342,99,0,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,0,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,CO-20221108_Eday80,6,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,0,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,0,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,22578,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,24803,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,164145,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,169439,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,198248,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,346277,99,188058,1135345,True,20221108CO6616,2022-11-08,CO,12225,Ken,Buck,True,GOP,12225,2,61077,8377,0,Ike,McCorkle,Dem,13887,1,68898,9445,0,Ryan,McGonigal,McGonigl,AmC,14102,3,71793,9793,0,,
