captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.12197.first,candidates.12197.last,candidates.12197.abbrv,candidates.12197.party,candidates.12197.incumbent,candidates.12197.candidateID,candidates.12197.polID,candidates.12197.ballotOrder,candidates.12197.polNum,candidates.12197.electWon,candidates.13966.first,candidates.13966.last,candidates.13966.party,candidates.13966.candidateID,candidates.13966.polID,candidates.13966.ballotOrder,candidates.13966.polNum,candidates.13966.electWon,candidates.14275.first,candidates.14275.last,candidates.14275.party,candidates.14275.candidateID,candidates.14275.polID,candidates.14275.ballotOrder,candidates.14275.polNum,candidates.14275.electWon,candidates.12197.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AR-20221108_Eday62,4,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,253914,99,0,487411,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,AR-20221108_Eday80,4,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,0,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,AR-20221108_Eday80,4,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,0,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,11329,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,108742,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,112058,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,141104,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,112058,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,143062,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,146446,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,241580,99,151872,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,AR-20221108_Eday80,4,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,241580,99,156026,504752,True,20221108AR5105,2022-11-08,AR,12197,French,Hill,HillF,GOP,True,12197,63416,2,8200,0,Quintessa,Hathaway,Dem,13966,70524,1,8904,0,Michael,White,Lib,14275,71712,3,9050,0,2022-11-09T03:05:07.698Z
