captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.10393.first,candidates.10393.last,candidates.10393.incumbent,candidates.10393.party,candidates.10393.candidateID,candidates.10393.ballotOrder,candidates.10393.polID,candidates.10393.polNum,candidates.10393.electWon,candidates.10521.first,candidates.10521.last,candidates.10521.party,candidates.10521.candidateID,candidates.10521.ballotOrder,candidates.10521.polID,candidates.10521.polNum,candidates.10521.electWon,candidates.10801.first,candidates.10801.last,candidates.10801.party,candidates.10801.candidateID,candidates.10801.ballotOrder,candidates.10801.polID,candidates.10801.polNum,candidates.10801.electWon,candidates.10393.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AZ-20221108_Eday80,3,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,0,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1058664,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1087550,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1058664,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1087550,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1105586,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1318819,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1326379,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667967636,2022-11-08 22:20:36 -0600,1bed774242ed32fb5f86bc6fed50c68740cf5631,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1329959,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
1667968538,2022-11-08 22:35:38 -0600,921a14073c0a588fcddcb6fa0c38955a3a5e6401,AZ-20221108_Eday80,3,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Mark,Kelly,Kelly,Dem,10393,68876,6135,True,True,True,2789446,99,1331105,4184169,True,20221108AZ3002,2022-11-08,AZ,10393,Mark,Kelly,True,Dem,10393,1,68876,6135,0,Blake,Masters,GOP,10521,2,70958,6225,0,Marc,Victor,Lib,10801,3,62716,5686,0,,
