captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.22629.first,candidates.22629.last,candidates.22629.party,candidates.22629.candidateID,candidates.22629.ballotOrder,candidates.22629.polID,candidates.22629.polNum,candidates.22629.electWon,candidates.22747.first,candidates.22747.last,candidates.22747.incumbent,candidates.22747.party,candidates.22747.candidateID,candidates.22747.ballotOrder,candidates.22747.polID,candidates.22747.polNum,candidates.22747.electWon,candidates.22747.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IN-20221108_Eday64,15,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,258048,99,0,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,IN-20221108_Eday80,15,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,258048,99,0,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667950106,2022-11-08 23:28:26 +0000,03bd9b09dc6ae9d95766d3877a273fc07c395a68,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,258048,99,0,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,258048,99,52507,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,258048,99,54594,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,258048,99,75491,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,258539,99,75491,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,258539,99,114214,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,258539,99,126530,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,IN-20221108_Eday80,15,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,258539,99,193099,902582,True,20221108IN15014,2022-11-08,IN,22747,Jennifer-Ruth,Green,GOP,22629,1,70011,18670,0.0,Frank J.,Mrvan,True,Dem,22747,2,69958,18761,0.0,,
