captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.29918.first,candidates.29918.last,candidates.29918.incumbent,candidates.29918.party,candidates.29918.candidateID,candidates.29918.ballotOrder,candidates.29918.polID,candidates.29918.polNum,candidates.29918.electWon,candidates.31053.first,candidates.31053.last,candidates.31053.party,candidates.31053.candidateID,candidates.31053.ballotOrder,candidates.31053.polID,candidates.31053.polNum,candidates.31053.electWon,candidates.31450.first,candidates.31450.last,candidates.31450.party,candidates.31450.candidateID,candidates.31450.ballotOrder,candidates.31450.polID,candidates.31450.polNum,candidates.31450.electWon,isShowingRankedChoiceResults,candidates.31517.first,candidates.31517.last,candidates.31517.incumbent,candidates.31517.party,candidates.31517.candidateID,candidates.31517.ballotOrder,candidates.31517.polID,candidates.31517.polNum,candidates.31517.winnerDateTime,candidates.31518.first,candidates.31518.last,candidates.31518.party,candidates.31518.candidateID,candidates.31518.ballotOrder,candidates.31518.polID,candidates.31518.polNum,candidates.31519.first,candidates.31519.last,candidates.31519.party,candidates.31519.candidateID,candidates.31519.ballotOrder,candidates.31519.polID,candidates.31519.polNum,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,ME-20221108_Eday80,20,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,North,True,District 2,2,328452,99,0,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328452,99,27,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328513,99,720,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328513,99,2512,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328538,99,8311,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328538,99,9242,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328538,99,8311,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328538,99,9242,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328538,99,18529,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,H,U.S. House,North,True,District 2,2,328822,99,25043,906708,True,20221108ME20645,2022-11-08,ME,29918,Jared,Golden,True,Dem,29918,2.0,66383,25384,0.0,Bruce,Poliquin,GOP,31053,3.0,60410,24987,0.0,Tiffany,Bond,Ind,31450,1.0,67787,25972,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
