captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.38016.last,candidates.38016.party,candidates.38016.candidateID,candidates.38016.ballotOrder,candidates.38016.polID,candidates.38016.polNum,candidates.38016.electWon,candidates.38017.last,candidates.38017.party,candidates.38017.candidateID,candidates.38017.ballotOrder,candidates.38017.polID,candidates.38017.polNum,candidates.38017.electWon,raceCallStatus,candidates.38016.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MI-20221108_Eday80,23,Ballot Issue,G,Awaiting Poll Close,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,0,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,0,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,296,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,142,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,296,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,203065,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,263427,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,262097,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,288136,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MI-20221108_Eday80,23,Ballot Issue,G,Active Tabulation,I,Proposal,12 yr term limit,True,True,1 - Pub Official Financial Disc,0,4800000,99,284145,8210166,True,20221108MI24625,2022-11-08,MI,Yes,Yes,38016,1,2,23570,0,No,No,38017,2,3,25227,0,,
