captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.81916.first,candidates.81916.last,candidates.81916.abbrv,candidates.81916.incumbent,candidates.81916.party,candidates.81916.candidateID,candidates.81916.ballotOrder,candidates.81916.polID,candidates.81916.polNum,candidates.81916.electWon,candidates.86448.first,candidates.86448.last,candidates.86448.party,candidates.86448.candidateID,candidates.86448.ballotOrder,candidates.86448.polID,candidates.86448.polNum,candidates.86448.electWon,candidates.86746.first,candidates.86746.last,candidates.86746.party,candidates.86746.candidateID,candidates.86746.ballotOrder,candidates.86746.polID,candidates.86746.polNum,candidates.86746.electWon,candidates.81916.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday62,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 14,14,184538,99,0,729710,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 14,14,184538,99,0,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,184538,99,35774,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,184538,99,36347,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,184538,99,53084,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,184538,99,60878,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 14,14,184538,99,60878,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,2022-11-09T02:27:11.973Z,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 14,14,184538,99,75902,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,2022-11-09T02:27:11.973Z,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 14,14,184538,99,89031,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,2022-11-09T02:27:11.973Z,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 14,14,184538,99,92766,732899,True,20221108NY36594,2022-11-08,NY,81916,Alexandria,Ocasio-Cortez,Ocs-Crtz,True,Dem,81916,1,67104,54484,0.0,Tina,Forte,GOP,86448,2,71442,55616,0.0,Desi,Cuellar,Con,86746,3,71443,55617,0.0,2022-11-09T02:27:11.973Z,
