captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.6798.first,candidates.6798.last,candidates.6798.incumbent,candidates.6798.party,candidates.6798.candidateID,candidates.6798.ballotOrder,candidates.6798.polID,candidates.6798.polNum,candidates.6798.electWon,candidates.7637.first,candidates.7637.last,candidates.7637.party,candidates.7637.candidateID,candidates.7637.ballotOrder,candidates.7637.polID,candidates.7637.polNum,candidates.7637.electWon,candidates.7805.first,candidates.7805.last,candidates.7805.party,candidates.7805.candidateID,candidates.7805.ballotOrder,candidates.7805.polID,candidates.7805.polNum,candidates.7805.electWon,candidates.7807.first,candidates.7807.last,candidates.7807.party,candidates.7807.candidateID,candidates.7807.ballotOrder,candidates.7807.polID,candidates.7807.polNum,candidates.7807.electWon,candidates.6798.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,KS-20221108_Eday80,17,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,0,1929972,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,KS-20221108_Eday80,17,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,0,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,KS-20221108_Eday80,17,General,G,Polls Closed/Waiting First Report,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,0,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,0,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,7707,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,131236,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,131379,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,131236,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,131379,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,159025,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,159166,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,161587,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,KS-20221108_Eday80,17,General,G,Active Tabulation,Too Early to Call,G,Governor,Laura,Kelly,Kelly,Dem,6798,67301,18848,True,True,True,1100000,99,188782,1951099,True,20221108KS17559,2022-11-08,KS,6798,Laura,Kelly,True,Dem,6798,1,67301,18848,0,Derek,Schmidt,GOP,7637,2,54125,18842,0,Seth,Cordell,Lib,7805,3,71740,20750,0,Dennis,Pyle,Ind,7807,4,19968,18469,0,
