captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23061.first,candidates.23061.last,candidates.23061.party,candidates.23061.candidateID,candidates.23061.polID,candidates.23061.ballotOrder,candidates.23061.polNum,candidates.23061.electWon,candidates.23066.first,candidates.23066.last,candidates.23066.party,candidates.23066.candidateID,candidates.23066.polID,candidates.23066.ballotOrder,candidates.23066.polNum,candidates.23066.electWon,candidates.23061.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CA-20221108_Eday62,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 42,42,196285,99,0,371535,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 42,42,204724,99,0,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,,
1667949842,2022-11-08 23:24:02 +0000,e733c733b3b3c33f13905f9501db69cb94a55a64,CA-20221108_Eday80,5,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 42,42,204724,90,0,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,,
1667969292,2022-11-08 22:48:12 -0600,27c0128769cb9950dd2d2f7b010376c6821eb8bd,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 42,42,204724,90,46895,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,,
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 42,42,204724,90,53895,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,,
1667977161,2022-11-09 00:59:21 -0600,d4158baa35ee56754832f9c50c65e72445101881,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,204724,90,53895,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667977245,2022-11-09 01:00:45 -0600,941801650b13c3c4f4a2abd9523403803c17f776,CA-20221108_Eday80,5,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 42,42,204724,90,53895,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,,
1667977288,2022-11-09 01:01:28 -0600,8a44f565442a4579e6df315edf5565e7f37a882b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,204724,90,53895,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667983719,2022-11-09 02:48:39 -0600,a8d889d3e1698c6a2e70070696b60b41396d5c92,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,204724,90,74917,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667985436,2022-11-09 03:17:16 -0600,3424d47f5341c2a346e8a3799f78a52faeab6c0b,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,204724,90,75157,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667986710,2022-11-09 03:38:30 -0600,e76b62f6ea65887d3b04b50648890c6997b1f3db,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,204724,90,75399,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667987484,2022-11-09 03:51:24 -0600,980f6fe5a4a9ffa7810478d35fa77761f4ccdcbc,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,204724,90,75667,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667987524,2022-11-09 03:52:04 -0600,c251c6fbf74f00217c61f2d533377b35edad2d39,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,204724,90,75399,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667987563,2022-11-09 03:52:43 -0600,8abcd32a71680efad0e1b14075bb8680bae203ec,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,204724,90,75667,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667989162,2022-11-09 04:19:22 -0600,a00a55b6e4b2e7194f9b097d510baa2b86d6d503,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,189168,90,75842,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667990922,2022-11-09 04:48:42 -0600,199f54b933251ef93b5dbcf1011929e2fbcb3625,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,189168,90,75867,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
1667995189,2022-11-09 05:59:49 -0600,5b5d2da7083e91ed76b58b01c898372966aa5369,CA-20221108_Eday80,5,General,G,Active Tabulation,Called,H,U.S. House,True,District 42,42,189168,90,75877,371448,True,20221108CA5732,2022-11-08,CA,Robert,Garcia,Dem,23061,70642,2,12489,0,John,Briscoe,GOP,23066,66602,1,13143,0,2022-11-09T06:47:58.138Z,
