captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.27859.first,candidates.27859.last,candidates.27859.abbrv,candidates.27859.incumbent,candidates.27859.party,candidates.27859.candidateID,candidates.27859.ballotOrder,candidates.27859.polID,candidates.27859.polNum,candidates.27859.electWon,candidates.29284.first,candidates.29284.last,candidates.29284.party,candidates.29284.candidateID,candidates.29284.ballotOrder,candidates.29284.polID,candidates.29284.polNum,candidates.29284.electWon,candidates.27859.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,IL-20221108_Eday64,14,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 14,14,256237,99,0,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,IL-20221108_Eday80,14,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,0,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,0,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,5156,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,5713,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,27172,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,41292,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,57904,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,86093,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,103570,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667967905,2022-11-08 22:25:05 -0600,7b53fc8cb8c53477e9f4fecf82fac92988ee5275,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,105036,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
1667968667,2022-11-08 22:37:47 -0600,a013d457c641e43c359ed7cf524810962213905d,IL-20221108_Eday80,14,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 14,14,248927,99,121227,840724,True,20221108IL16003,2022-11-08,IL,27859,Lauren,Underwood,Underwod,True,Dem,27859,2,66136,22458,0,Scott,Gryder,GOP,29284,1,71110,23046,0,
