captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.12191.first,candidates.12191.last,candidates.12191.abbrv,candidates.12191.incumbent,candidates.12191.party,candidates.12191.candidateID,candidates.12191.ballotOrder,candidates.12191.polID,candidates.12191.polNum,candidates.12191.electWon,candidates.13970.first,candidates.13970.last,candidates.13970.party,candidates.13970.candidateID,candidates.13970.ballotOrder,candidates.13970.polID,candidates.13970.polNum,candidates.13970.electWon,candidates.14277.first,candidates.14277.last,candidates.14277.party,candidates.14277.candidateID,candidates.14277.ballotOrder,candidates.14277.polID,candidates.14277.polNum,candidates.14277.electWon,candidates.12191.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,AR-20221108_Eday80,4,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,0,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,AR-20221108_Eday80,4,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,0,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,5315,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,17766,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,24520,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,50668,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,24520,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,68565,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,68866,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,AR-20221108_Eday80,4,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 4,4,212226,99,80228,969438,True,20221108AR5107,2022-11-08,AR,12191,Bruce,Westerman,Westrmn,True,GOP,12191,2,63418,7822,0,John,White,Dem,13970,3,70530,8907,0,Gregory,Maxwell,Lib,14277,1,71713,8604,0,
