captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.10525.last,candidates.10525.party,candidates.10525.candidateID,candidates.10525.polID,candidates.10525.ballotOrder,candidates.10525.polNum,candidates.10525.electWon,candidates.10527.last,candidates.10527.party,candidates.10527.candidateID,candidates.10527.polID,candidates.10527.ballotOrder,candidates.10527.polNum,candidates.10527.electWon,raceCallStatus,candidates.10525.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,DC-20221108_Eday62,9,Ballot Issue,G,Awaiting Poll Close,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,1600000,99.0,0,1009480,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,DC-20221108_Eday82,9,Ballot Issue,G,Awaiting Poll Close,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,0,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,0,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,DC-20221108_Eday82,9,Ballot Issue,G,Awaiting Poll Close,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,0,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,0,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,47048,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,53034,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,148138,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,,,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,178058,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,219750,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,246056,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,252618,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,288340,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1667969636,2022-11-08 22:53:56 -0600,343edcc3a5440ed7e985b5b1b439acfe9dc3a7bb,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,289722,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1667971304,2022-11-08 23:21:44 -0600,1425fca56a9abad3e92162e44d8c52f320121f3e,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,420451,99.0,290796,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1667978624,2022-11-09 01:23:44 -0600,97e704602754dedf1a218b99d26e3136f940ebe6,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,295443,99.0,290796,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1668017289,2022-11-09 12:08:09 -0600,7b983a56cedaa2cb0faa24773b64fe45682a1bbd,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,313591,99.0,290796,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1668018088,2022-11-09 12:21:28 -0600,b0b7c547b2f48d58915a85053bef03dde28f77e5,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,330451,99.0,290796,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
1668018130,2022-11-09 12:22:10 -0600,a2dac6bb9c377ba2beb69716a3bb935b152e7b95,DC-20221108_Eday82,9,Ballot Issue,G,Active Tabulation,I,Initiative,Match to non-tipped,True,True,1 - Increase Tipped Minimum Wage,0,313591,99.0,290796,819740,True,20221108DC9348,2022-11-08,DC,Yes,Yes,10525,2,1,9260,0,No,No,10527,3,3,9261,0,Called,2022-11-09T02:36:06.153Z,
