captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108DC9348,live,0.0,DC,District of Columbia,9,1,2022-11-09T00:00:00.000Z,state,0,2022-11-07T03:03:42.739Z,0,304,0.0,10525,0,0.0,10527,0,0.0,1600000,99,0,1009480,0,0,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108DC9348,live,0.0,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T19:52:57.935Z,0,304,0.0,10525,0,0.0,10527,0,0.0,420451,99,0,819740,0,0,,,
1667945601,2022-11-08 22:13:21 +0000,10182c9b9cc6c22892c3bd6d3318048c89444927,20221108DC9348,live,0.0,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-08T22:05:12.207Z,0,304,0.0,10525,0,0.0,10527,0,0.0,420451,99,0,819740,0,0,,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108DC9348,live,0.0,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:26:07.322Z,0,304,0.0,10525,0,0.0,10527,0,0.0,420451,99,0,819740,0,0,,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108DC9348,live,0.0,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:37:12.220Z,0,304,0.0,10525,0,0.0,10527,0,0.0,420451,99,0,819740,0,0,,,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108DC9348,live,0.0,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:48:16.063Z,0,304,0.0,10525,0,0.0,10527,0,0.0,420451,99,0,819740,0,0,,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108DC9348,live,0.0,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T01:52:40.226Z,0,304,0.0,10525,0,0.0,10527,0,0.0,420451,99,0,819740,0,0,,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108DC9348,live,11.19,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:02:25.682Z,0,304,0.0,10525,35408,75.26,10527,11640,24.74,420451,99,47048,819740,0,33,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108DC9348,live,12.61,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:16:38.809Z,0,304,0.0,10525,40162,75.73,10527,12872,24.27,420451,99,53034,819740,0,37,,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,20221108DC9348,live,12.61,DC,District of Columbia,9,1,2022-11-09T01:00:00.000Z,state,0,2022-11-09T02:21:31.048Z,0,304,0.0,10525,40162,75.73,10527,12872,24.27,420451,99,53034,819740,0,37,,,
