captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.31955.first,candidates.31955.last,candidates.31955.abbrv,candidates.31955.party,candidates.31955.candidateID,candidates.31955.ballotOrder,candidates.31955.polID,candidates.31955.polNum,candidates.31955.electWon,candidates.31975.first,candidates.31975.last,candidates.31975.incumbent,candidates.31975.party,candidates.31975.candidateID,candidates.31975.ballotOrder,candidates.31975.polID,candidates.31975.polNum,candidates.31975.electWon,candidates.31975.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NE-20221108_Eday80,28,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,0,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,0,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NE-20221108_Eday80,28,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,0,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,0,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,62950,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,67312,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,62950,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,68566,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,87034,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,234434,99,89274,578459,True,20221108NE28382,2022-11-08,NE,31975,Patty,Pansing Brooks,PnsngBr,Dem,31955,2,69966,30008,0,Mike,Flood,True,GOP,31975,1,69972,30071,0,,
