captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.46553.first,candidates.46553.last,candidates.46553.incumbent,candidates.46553.party,candidates.46553.candidateID,candidates.46553.ballotOrder,candidates.46553.polID,candidates.46553.polNum,candidates.46553.electWon,candidates.49932.first,candidates.49932.last,candidates.49932.party,candidates.49932.candidateID,candidates.49932.ballotOrder,candidates.49932.polID,candidates.49932.polNum,candidates.49932.electWon,candidates.50885.first,candidates.50885.last,candidates.50885.party,candidates.50885.candidateID,candidates.50885.ballotOrder,candidates.50885.polID,candidates.50885.polNum,candidates.50885.electWon,candidates.46553.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NH-20221108_Eday80,30,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,0,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,8931,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667954328,2022-11-09 00:38:48 +0000,bfe97281aaab58d7c74edee2f505906bcc18daea,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,25414,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,33250,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,41589,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,60748,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,62434,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,70354,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,74988,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,NH-20221108_Eday80,30,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Maggie,Hassan,Dem,46553,62653,37548,True,True,True,620000,99,80718,869863,True,20221108NH31459,2022-11-08,NH,46553,Maggie,Hassan,True,Dem,46553,2,62653,37548,0,Donald,Bolduc,GOP,49932,1,69162,40775,0,Jeremy,Kauffman,Lib,50885,3,71806,41518,0,,
