captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.32029.last,candidates.32029.party,candidates.32029.candidateID,candidates.32029.ballotOrder,candidates.32029.polID,candidates.32029.polNum,candidates.32029.electWon,candidates.32030.last,candidates.32030.party,candidates.32030.candidateID,candidates.32030.ballotOrder,candidates.32030.polID,candidates.32030.polNum,candidates.32030.electWon,raceCallStatus,candidates.32029.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NE-20221108_Eday80,28,Ballot Issue,G,Awaiting Poll Close,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,0,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,160634,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,175408,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,184552,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,258700,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,263825,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,290624,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,293848,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,326342,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,354744,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667967725,2022-11-08 22:22:05 -0600,2e205cdf5acdeccc3a2b1c632c181258e2163fd9,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,396351,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667968580,2022-11-08 22:36:20 -0600,8dda0f830e7e8651004cd9142ca946394c2bd364,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,414680,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
1667969463,2022-11-08 22:51:03 -0600,33a57724ad86936b636ee9df9a6a905b84cec6b3,NE-20221108_Eday80,28,Ballot Issue,G,Active Tabulation,I,Initiative,Specified by legislature,True,True,True,432 - Require Photo ID,1,725000,99,443380,1241451,True,20221108NE29536,2022-11-08,NE,For,Yes,32029,1,2,29743,0,Against,No,32030,2,3,28864,0,,
