captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.23279.first,candidates.23279.last,candidates.23279.abbrv,candidates.23279.party,candidates.23279.candidateID,candidates.23279.polID,candidates.23279.ballotOrder,candidates.23279.polNum,candidates.23279.electWon,candidates.23282.first,candidates.23282.last,candidates.23282.party,candidates.23282.incumbent,candidates.23282.candidateID,candidates.23282.polID,candidates.23282.ballotOrder,candidates.23282.polNum,candidates.23282.electWon,candidates.23282.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 21,21,333284,99,0,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 21,21,435363,99,0,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 21,21,318629,99,0,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 21,21,318629,99,76739,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 21,21,493169,99,230189,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 21,21,493169,99,281016,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 21,21,493169,99,290211,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 21,21,493169,99,281016,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 21,21,493169,99,290211,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,FL-20221108_Eday80,10,General,G,Active Tabulation,Called,H,U.S. House,True,District 21,21,373817,99,300525,1450505,True,20221108FL10393,2022-11-08,FL,23282,Corinna,Balderramos Robinson,Bldrrms,Dem,23279,71609,1,15453,0,Brian,Mast,GOP,True,23282,65757,2,14629,0,2022-11-09T01:16:58.001Z
