captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.62474.first,candidates.62474.last,candidates.62474.incumbent,candidates.62474.party,candidates.62474.candidateID,candidates.62474.ballotOrder,candidates.62474.polID,candidates.62474.polNum,candidates.62474.electWon,candidates.62935.first,candidates.62935.last,candidates.62935.party,candidates.62935.candidateID,candidates.62935.ballotOrder,candidates.62935.polID,candidates.62935.polNum,candidates.62935.electWon,candidates.63483.first,candidates.63483.last,candidates.63483.party,candidates.63483.candidateID,candidates.63483.ballotOrder,candidates.63483.polID,candidates.63483.polNum,candidates.63483.electWon,candidates.62474.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,0,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,15085,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,0,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,15085,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,83654,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,124249,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,124717,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,124249,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,126129,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"NE Corner, Dallas Subs N",True,District 4,4,273531,99,159276,929972,True,20221108TX45874,2022-11-08,TX,62474,Pat,Fallon,True,GOP,62474,1,69628,50869,0,Iro,Omere,Dem,62935,2,69813,53014,0,John,Simmons,Lib,63483,3,71748,53404,0,
