captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.34777.first,candidates.34777.last,candidates.34777.party,candidates.34777.candidateID,candidates.34777.ballotOrder,candidates.34777.polID,candidates.34777.polNum,candidates.34777.electWon,candidates.34781.first,candidates.34781.last,candidates.34781.incumbent,candidates.34781.party,candidates.34781.candidateID,candidates.34781.ballotOrder,candidates.34781.polID,candidates.34781.polNum,candidates.34781.electWon,candidates.35272.first,candidates.35272.last,candidates.35272.party,candidates.35272.candidateID,candidates.35272.ballotOrder,candidates.35272.polID,candidates.35272.polNum,candidates.35272.electWon,candidates.35273.first,candidates.35273.last,candidates.35273.abbrv,candidates.35273.party,candidates.35273.candidateID,candidates.35273.ballotOrder,candidates.35273.polID,candidates.35273.polNum,candidates.35273.electWon,candidates.34781.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MN-20221108_Eday80,24,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,307599,99,0,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MN-20221108_Eday80,24,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,313496,99,0,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MN-20221108_Eday80,24,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 1,1,313496,99,0,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,313496,99,1334,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,313496,99,1969,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,313496,99,12680,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,313496,99,17785,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,313496,99,22314,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,313496,99,37125,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,313725,99,54356,1094204,True,20221108MN24007,2022-11-08,MN,34781,Jeff,Ettinger,Dem,34777,4,70102,29357,0,Brad,Finstad,True,GOP,34781,3,55192,29361,0,Richard,Reisdorf,LMN,35272,2,71246,29584,0,Brian,Abrahamson,Abrhmsn,GRP,35273,1,71648,28560,0,
