captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.29211.first,candidates.29211.last,candidates.29211.party,candidates.29211.incumbent,candidates.29211.candidateID,candidates.29211.polID,candidates.29211.ballotOrder,candidates.29211.polNum,candidates.29211.electWon,candidates.32146.first,candidates.32146.last,candidates.32146.party,candidates.32146.candidateID,candidates.32146.polID,candidates.32146.ballotOrder,candidates.32146.polNum,candidates.32146.electWon,candidates.32656.first,candidates.32656.last,candidates.32656.abbrv,candidates.32656.party,candidates.32656.candidateID,candidates.32656.polID,candidates.32656.ballotOrder,candidates.32656.polNum,candidates.32656.electWon,candidates.29211.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MD-20221108_Eday62,21,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,324171,99,0,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MD-20221108_Eday80,21,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,305990,99,0,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,305990,99,0,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,305990,99,88532,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,305990,99,97559,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,305990,99,107537,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,305990,99,121907,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,303132,99,191545,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,271551,99,199070,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,MD-20221108_Eday80,21,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,271551,99,222875,1070765,True,20221108MD21746,2022-11-08,MD,29211,Andy,Harris,GOP,True,29211,58831,1,23613,0,Heather,Mizeur,Dem,32146,63855,2,24945,0,Daniel,Thibeault,Thibealt,Lib,32656,71719,3,26951,0,,
