captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.37379.first,candidates.37379.last,candidates.37379.party,candidates.37379.candidateID,candidates.37379.ballotOrder,candidates.37379.polID,candidates.37379.polNum,candidates.37379.electWon,candidates.37383.first,candidates.37383.last,candidates.37383.party,candidates.37383.candidateID,candidates.37383.ballotOrder,candidates.37383.polID,candidates.37383.polNum,candidates.37383.electWon,candidates.37971.first,candidates.37971.last,candidates.37971.party,candidates.37971.candidateID,candidates.37971.ballotOrder,candidates.37971.polID,candidates.37971.polNum,candidates.37971.electWon,candidates.37972.first,candidates.37972.last,candidates.37972.party,candidates.37972.candidateID,candidates.37972.ballotOrder,candidates.37972.polID,candidates.37972.polNum,candidates.37972.electWon,candidates.37383.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MI-20221108_Eday64,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,0,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MI-20221108_Eday80,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,0,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,0,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,14769,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,15168,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,16103,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,17950,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,18794,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,29653,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 10,10,349001,99,32267,981650,True,20221108MI23814,2022-11-08,MI,Carl,Marlinga,Dem,37379,1,796,30131,0,John,James,GOP,37383,2,67181,29346,0,Mike,Saliba,Lib,37971,3,69512,29315,0,Andrea,Kirby,WCP,37972,4,67805,29769,0,
