captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.37352.first,candidates.37352.last,candidates.37352.party,candidates.37352.candidateID,candidates.37352.ballotOrder,candidates.37352.polID,candidates.37352.polNum,candidates.37352.electWon,candidates.37353.first,candidates.37353.last,candidates.37353.party,candidates.37353.candidateID,candidates.37353.ballotOrder,candidates.37353.polID,candidates.37353.polNum,candidates.37353.electWon,candidates.37961.first,candidates.37961.last,candidates.37961.party,candidates.37961.candidateID,candidates.37961.ballotOrder,candidates.37961.polID,candidates.37961.polNum,candidates.37961.electWon,candidates.37962.first,candidates.37962.last,candidates.37962.party,candidates.37962.candidateID,candidates.37962.ballotOrder,candidates.37962.polID,candidates.37962.polNum,candidates.37962.electWon,candidates.37352.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MI-20221108_Eday64,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,0,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MI-20221108_Eday80,23,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,0,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,0,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,1965,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,2551,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,43962,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,83468,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,119118,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,144048,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,MI-20221108_Eday80,23,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,351430,99,26711,969389,True,20221108MI23807,2022-11-08,MI,Hillary,Scholten,Dem,37352,1,69080,29817,0,John,Gibbs,GOP,37353,2,70824,30120,0,Louis,Palus,WCP,37961,4,71662,29787,0,Jamie,Lewis,Lib,37962,3,71663,28226,0,,
