captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.9001.first,candidates.9001.last,candidates.9001.abbrv,candidates.9001.party,candidates.9001.incumbent,candidates.9001.candidateID,candidates.9001.polID,candidates.9001.ballotOrder,candidates.9001.polNum,candidates.9001.electWon,candidates.9544.first,candidates.9544.last,candidates.9544.party,candidates.9544.candidateID,candidates.9544.polID,candidates.9544.ballotOrder,candidates.9544.polNum,candidates.9544.electWon,candidates.9001.winnerDateTime,isCertified
1668127171,2022-11-10 18:39:31 -0600,d652023a810a4bca2a7c20909e3fdd79fdd1b2d4,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,291480,70,216657,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668131889,2022-11-10 19:58:09 -0600,dbafa472312649e16759256f2e93b0361f99dcca,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,291480,70,222575,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668186068,2022-11-11 11:01:08 -0600,4b5d33661f1c880ab04e47d83f629b1eaa9a19d7,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,276628,70,222575,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668204480,2022-11-11 16:08:00 -0600,35d0a355276a5341edc05444df93a6c92c3a9cc1,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,276628,70,227314,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668274171,2022-11-12 11:29:31 -0600,99c9586e5637fbd0fa8b391dcf43d6e9cd60b995,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,274891,70,227314,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668274956,2022-11-12 11:42:36 -0600,704ec98d35b2f7ac10a5e2b3157e852384436228,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,264972,70,227314,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668274998,2022-11-12 11:43:18 -0600,c16cac86fdf73bb594a3237877ce5b80d538f3cf,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,274891,70,227314,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668275043,2022-11-12 11:44:03 -0600,6dfe7dcb7b42eea8e708b497c5c2cdf10eef5141,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,264972,70,227314,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668299375,2022-11-12 18:29:35 -0600,9a6d649a1228e9cb62e52f55de93a23168b6717e,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,264972,70,238723,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668468805,2022-11-14 17:33:25 -0600,f3de1c268f94f1e1659901ecc26f55d590da92da,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,264972,99,238723,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668469539,2022-11-14 17:45:39 -0600,61961a2674cb618ac3ab3ae08971937168284128,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,264972,99,247103,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668471395,2022-11-14 18:16:35 -0600,e504f41ba89b820ce0d13f9ec4887528519ab78c,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,264202,99,247103,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668551869,2022-11-15 16:37:49 -0600,9f9d21103d7c877e7203a37ac54d3abe59f12cd5,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,262605,99,247868,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
1668557447,2022-11-15 18:10:47 -0600,e410c6cb7ac4268bdf5130f3e6d4186711295de4,WA-20221108_Eday80,48,General,G,Active Tabulation,Called,H,U.S. House,"West, Thurston",True,District 10,10,263378,99,247868,949670,True,20221108WA49358,2022-11-08,WA,9001,Marilyn,Strickland,Strcklnd,Dem,True,9001,68952,1,52079,0,Keith,Swank,GOP,9544,62982,2,51192,0,2022-11-09T22:29:21.739Z,
