captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-07T20:49:35.003Z,0,0.0,113,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,43051,99,0,81207,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-08T19:34:19.516Z,0,0.0,113,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,46239,99,0,81207,0,0
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-09T02:03:45.735Z,0,0.0,113,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,46239,99,0,81207,0,0
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-09T02:03:45.735Z,0,0.0,113,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,46239,99,0,81207,0,0
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-09T02:45:29.162Z,0,0.0,113,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,46239,99,0,81207,0,0
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-09T02:59:14.497Z,35,38.72,113,30.97,25351,12018,67.12,25349,3046,17.01,25350,1802,10.06,25347,726,4.05,25352,313,1.75,46239,99,17905,81207,35,44
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-09T02:59:14.497Z,35,38.72,113,30.97,25351,12018,67.12,25349,3046,17.01,25350,1802,10.06,25347,726,4.05,25352,313,1.75,46239,99,17905,81207,35,44
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-09T03:07:50.057Z,35,30.66,113,30.97,25351,12018,67.12,25349,3046,17.01,25350,1802,10.06,25347,726,4.05,25352,313,1.75,58391,99,17905,81207,35,35
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-09T03:15:41.253Z,57,47.21,113,50.44,25351,16298,68.63,25349,3777,15.91,25350,2189,9.22,25347,1008,4.24,25352,475,2.0,50301,99,23747,81207,57,53
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,LA,22079,2,2022-11-09T02:00:00.000Z,FIPSCode,22079,2022-11-09T03:24:54.117Z,72,63.08,113,63.72,25351,19780,69.75,25349,4288,15.12,25350,2466,8.7,25347,1225,4.32,25352,600,2.12,44957,99,28359,81207,72,71
