captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,numRunoff,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.25347.first,candidates.25347.last,candidates.25347.party,candidates.25347.candidateID,candidates.25347.ballotOrder,candidates.25347.polID,candidates.25347.polNum,candidates.25349.first,candidates.25349.last,candidates.25349.party,candidates.25349.candidateID,candidates.25349.ballotOrder,candidates.25349.polID,candidates.25349.polNum,candidates.25350.first,candidates.25350.last,candidates.25350.party,candidates.25350.candidateID,candidates.25350.ballotOrder,candidates.25350.polID,candidates.25350.polNum,candidates.25351.first,candidates.25351.last,candidates.25351.incumbent,candidates.25351.party,candidates.25351.candidateID,candidates.25351.ballotOrder,candidates.25351.polID,candidates.25351.polNum,candidates.25352.first,candidates.25352.last,candidates.25352.party,candidates.25352.candidateID,candidates.25352.ballotOrder,candidates.25352.polID,candidates.25352.polNum,candidates.25351.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,LA-20221108_Eday80,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,2,257289,99,0,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,LA-20221108_Eday80,19,Open Primary,X,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 5,5,2,277295,99,0,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,LA-20221108_Eday80,19,Open Primary,X,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 5,5,2,277295,99,0,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,2,277295,99,41065,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,2,257535,99,108687,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,2,215333,99,169133,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,2,215726,99,198201,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Too Early to Call,H,U.S. House,True,District 5,5,2,212682,99,203865,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 5,5,2,212682,99,205741,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,2022-11-09T04:03:16.090Z
1667968316,2022-11-08 22:31:56 -0600,c7364a5d7197a125b098705a317e32ff0afe0f57,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 5,5,2,212682,99,209602,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,2022-11-09T04:03:16.090Z
1667969204,2022-11-08 22:46:44 -0600,861af312a343e9b4769e08b8c7c8c17fab4dadef,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 5,5,2,213073,99,209621,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,2022-11-09T04:03:16.090Z
1667969942,2022-11-08 22:59:02 -0600,302c96144aa0d22b0603db04cac0928c1e8a79f9,LA-20221108_Eday80,19,Open Primary,X,Active Tabulation,Called,H,U.S. House,True,District 5,5,2,212920,99,210073,1062267,True,20221108LA20560,2022-11-08,LA,25351,Allen,Guillory,GOP,25347,2,69561,21773,Oscar,Dantzler,Dem,25349,1,67930,22008,Walter,Huff,Dem,25350,3,71736,22313,Julia,Letlow,True,GOP,25351,4,69687,22314,Hunter,Pullen,GOP,25352,5,71737,22315,2022-11-09T04:03:16.090Z
