captureTimestamp,captureDateTime,captureRevision,statePostal,reportingunitID,reportingunitLevel,pollClosingTime,level,fipsCode,lastUpdated,precinctsReporting,eevp,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-07T20:49:35.016Z,0,0.0,31,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,4034,99,0,8550,0,0
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-08T19:34:19.521Z,0,0.0,31,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,4876,99,0,8550,0,0
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T02:03:47.160Z,0,0.0,31,0.0,25347,0,0.0,25349,0,0.0,25350,0,0.0,25351,0,0.0,25352,0,0.0,4876,99,0,8550,0,0
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T02:25:15.397Z,0,22.95,31,0.0,25351,895,79.98,25349,125,11.17,25350,64,5.72,25347,23,2.06,25352,12,1.07,4876,99,1119,8550,0,7
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T02:45:32.479Z,0,22.95,31,0.0,25351,895,79.98,25349,125,11.17,25350,64,5.72,25347,23,2.06,25352,12,1.07,4876,99,1119,8550,0,7
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T02:59:15.734Z,17,55.39,31,54.84,25351,2073,76.75,25349,343,12.7,25350,167,6.18,25347,81,3.0,25352,37,1.37,4876,99,2701,8550,17,17
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T02:59:15.734Z,17,55.39,31,54.84,25351,2073,76.75,25349,343,12.7,25350,167,6.18,25347,81,3.0,25352,37,1.37,4876,99,2701,8550,17,17
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T03:07:50.299Z,17,66.79,31,54.84,25351,2073,76.75,25349,343,12.7,25350,167,6.18,25347,81,3.0,25352,37,1.37,4044,99,2701,8550,17,21
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T03:11:55.456Z,24,83.23,31,77.42,25351,2500,78.35,25349,365,11.44,25350,177,5.55,25347,100,3.13,25352,49,1.54,3834,99,3191,8550,24,26
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T03:24:54.377Z,31,99.0,31,100.0,25351,3093,79.23,25349,408,10.45,25350,206,5.28,25347,133,3.41,25352,64,1.64,3943,99,3904,8550,31,31
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T03:24:54.377Z,31,99.0,31,100.0,25351,3093,79.23,25349,408,10.45,25350,206,5.28,25347,133,3.41,25352,64,1.64,3943,99,3904,8550,31,31
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T03:35:05.000Z,31,99.0,31,100.0,25351,3093,79.23,25349,408,10.45,25350,206,5.28,25347,133,3.41,25352,64,1.64,3943,99,3904,8550,31,31
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,LA,22127,2,2022-11-09T02:00:00.000Z,FIPSCode,22127,2022-11-09T03:43:51.054Z,31,99.0,31,100.0,25351,3093,79.23,25349,408,10.45,25350,206,5.28,25347,133,3.41,25352,64,1.64,3943,99,3904,8550,31,31
