captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.86364.first,candidates.86364.last,candidates.86364.abbrv,candidates.86364.party,candidates.86364.candidateID,candidates.86364.ballotOrder,candidates.86364.polID,candidates.86364.polNum,candidates.86364.electWon,candidates.86368.first,candidates.86368.last,candidates.86368.party,candidates.86368.candidateID,candidates.86368.ballotOrder,candidates.86368.polID,candidates.86368.polNum,candidates.86368.electWon,candidates.86368.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,0,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,13255,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,NY-20221108_Eday80,33,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,0,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,13255,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,19091,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,19845,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,19356,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,19845,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667962555,2022-11-09 02:55:55 +0000,84c8aec46b0824d2dabb875d986800c8bb475bfb,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,25108,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,31452,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,103712,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,105966,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,110620,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,290568,99,163705,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667968798,2022-11-08 22:39:58 -0600,a5f602864fc4763e8a6bc6f82d3436a01320e3bc,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,282176,99,163705,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667969681,2022-11-08 22:54:41 -0600,4488651d53a6ff54750765f807b5aba2e7544f5e,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,282176,99,211698,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667973115,2022-11-08 23:51:55 -0600,76528750fef7c265d19f91ec30e86804e3da6e06,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,282176,99,262077,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667975361,2022-11-09 00:29:21 -0600,d37d846c431e83eb6217de33215cf28365760117,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,282176,99,262077,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,2022-11-09T06:23:28.027Z
1667975402,2022-11-09 00:30:02 -0600,1cb740bfe02888499fbb239b5454758b24512913,NY-20221108_Eday80,33,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 3,3,282176,99,262077,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,
1667975443,2022-11-09 00:30:43 -0600,d3fce30549290fb6ab466f77998222999d6c79b9,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,282176,99,262077,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,2022-11-09T06:23:28.027Z
1668014601,2022-11-09 11:23:21 -0600,d7b46f3fc5058d40d0108d04d992d59115a9539e,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,278208,99,262077,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,2022-11-09T06:23:28.027Z
1668108090,2022-11-10 13:21:30 -0600,572f21384f96b2daa810979aa3cc46fd3727c2f9,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,275871,99,262077,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,2022-11-09T06:23:28.027Z
1668192912,2022-11-11 12:55:12 -0600,a074b7db2603c6eb939ff88987865d2b7698fb69,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,275871,99,263209,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,2022-11-09T06:23:28.027Z
1668463593,2022-11-14 16:06:33 -0600,f642e8c9125cd0e5903c478497619dfe7ea620b8,NY-20221108_Eday80,33,General,G,Active Tabulation,Called,H,U.S. House,True,District 3,3,275871,99,263767,1008466,True,20221108NY36583,2022-11-08,NY,Robert,Zimmerman,Zimmermn,Dem,86364,1,71414,55584,0,George,Santos,GOP,86368,2,69048,54754,0,2022-11-09T06:23:28.027Z
