captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,officeID,officeName,description,national,state,keyRace,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.32726.last,candidates.32726.party,candidates.32726.candidateID,candidates.32726.ballotOrder,candidates.32726.polID,candidates.32726.polNum,candidates.32726.electWon,candidates.32727.last,candidates.32727.party,candidates.32727.candidateID,candidates.32727.ballotOrder,candidates.32727.polID,candidates.32727.polNum,candidates.32727.electWon,raceCallStatus,candidates.32727.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MD-20221108_Eday80,21,Ballot Issue,G,Awaiting Poll Close,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,0,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,0,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,141645,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,383976,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,605229,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,664120,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,Called,2022-11-09T02:33:03.704Z,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,741367,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,Called,2022-11-09T02:33:03.704Z,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,883517,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,Called,2022-11-09T02:33:03.704Z,
1667963936,2022-11-09 03:18:56 +0000,05b874b27e9d0f9fdd5056261aa4b35a7cfd0586,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,1025883,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,Called,2022-11-09T02:33:03.704Z,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,MD-20221108_Eday80,21,Ballot Issue,G,Active Tabulation,I,Amendment,Legalize Cannibis,True,True,True,4 - Legalize Cannibis,0,2350000,99,1168225,3525000,True,20221108MD22916,2022-11-08,MD,Against,No,32726,2,3,21930,0,For,Yes,32727,1,2,21929,0,Called,2022-11-09T02:33:03.704Z,
