captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.47401.first,candidates.47401.last,candidates.47401.party,candidates.47401.candidateID,candidates.47401.ballotOrder,candidates.47401.polID,candidates.47401.polNum,candidates.47401.electWon,candidates.47402.first,candidates.47402.last,candidates.47402.party,candidates.47402.candidateID,candidates.47402.ballotOrder,candidates.47402.polID,candidates.47402.polNum,candidates.47402.electWon,candidates.47402.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,OH-20221108_Eday80,36,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,0,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,183233,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,248370,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,505725,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,771329,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,571075,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,1282547,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,1322119,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,1515195,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,OH-20221108_Eday80,36,General,G,Active Tabulation,Too Early to Call,S,U.S. Senate,Rob,Portman,Portman,GOP,44785,393,41408,True,True,True,4700000,99,1586124,7050000,True,20221108OH36780,2022-11-08,OH,Tim,Ryan,Dem,47401,1,1388,41198,0,JD,Vance,GOP,47402,2,70152,42429,0,
