captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.31953.first,candidates.31953.last,candidates.31953.party,candidates.31953.candidateID,candidates.31953.ballotOrder,candidates.31953.polID,candidates.31953.polNum,candidates.31953.electWon,candidates.31956.first,candidates.31956.last,candidates.31956.party,candidates.31956.candidateID,candidates.31956.ballotOrder,candidates.31956.polID,candidates.31956.polNum,candidates.31956.electWon,candidates.31977.first,candidates.31977.last,candidates.31977.abbrv,candidates.31977.party,candidates.31977.candidateID,candidates.31977.ballotOrder,candidates.31977.polID,candidates.31977.polNum,candidates.31977.electWon,candidates.31953.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,NE-20221108_Eday80,28,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,0,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,156665,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,176412,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,177683,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,186997,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667962837,2022-11-09 03:00:37 +0000,d57fedbb0cf82cf130c9d008e459203d23c317e0,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,262312,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667963111,2022-11-09 03:05:11 +0000,e819c6c0592b367c01eebbb86e897f39b2d774d1,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,268438,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,262312,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,268438,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
1667964860,2022-11-09 03:34:20 +0000,ee3367b043972f1875e6948799a9babb4f41fd05,NE-20221108_Eday80,28,General,G,Active Tabulation,Too Early to Call,G,Governor,Pete,Ricketts,Ricketts,GOP,31312,51566,29822,True,True,True,725000,99,291374,1241451,True,20221108NE28006,2022-11-08,NE,Jim,Pillen,GOP,31953,1,69957,30123,0,Carol,Blood,Dem,31956,2,69968,29874,0,Scott,Zimmerman,Zimmermn,Lib,31977,3,69979,30138,0,
