captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.59988.first,candidates.59988.last,candidates.59988.abbrv,candidates.59988.incumbent,candidates.59988.party,candidates.59988.candidateID,candidates.59988.ballotOrder,candidates.59988.polID,candidates.59988.polNum,candidates.59988.electWon,candidates.63490.first,candidates.63490.last,candidates.63490.party,candidates.63490.candidateID,candidates.63490.ballotOrder,candidates.63490.polID,candidates.63490.polNum,candidates.63490.electWon,candidates.59988.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233247,99,0,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233247,99,0,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233247,99,0,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233247,99,0,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233247,99,10389,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233207,99,11972,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233207,99,16728,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233207,99,46592,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233207,99,54382,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667961709,2022-11-09 02:41:49 +0000,0f04550731ed05e8c23b521fa0b273774c5a4a51,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233207,99,52213,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233207,99,54382,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233207,99,58907,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,233207,99,63180,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,226916,99,127457,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667965148,2022-11-09 03:39:08 +0000,6fdfe90630de6ba7d3077daaa37563b39e419cfc,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,226686,99,134182,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667966001,2022-11-09 03:53:21 +0000,cee0a612753351ddb30fde2a157613da20f2be01,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,"Northwest, Lubbock",True,District 19,19,225916,99,136667,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"Northwest, Lubbock",True,District 19,19,225916,99,138695,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,2022-11-09T03:57:32.446Z,
1667967540,2022-11-08 22:19:00 -0600,673632f1537c7c9f2368084b99ec47b67621c41e,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"Northwest, Lubbock",True,District 19,19,225916,99,142321,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,2022-11-09T03:57:32.446Z,
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,"Northwest, Lubbock",True,District 19,19,225916,99,150558,1509125,True,20221108TX45889,2022-11-08,TX,59988,Jodey,Arrington,Arringtn,True,GOP,59988,1,64621,51524,0,Nathan,Lewis,Ind,63490,2,71749,53405,0,2022-11-09T03:57:32.446Z,
