captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.23255.first,candidates.23255.last,candidates.23255.party,candidates.23255.candidateID,candidates.23255.polID,candidates.23255.ballotOrder,candidates.23255.polNum,candidates.23255.electWon,candidates.23260.first,candidates.23260.last,candidates.23260.party,candidates.23260.candidateID,candidates.23260.polID,candidates.23260.ballotOrder,candidates.23260.polNum,candidates.23260.electWon,candidates.23260.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,FL-20221108_Eday62,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 15,15,267617,99,0,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 15,15,284656,99,0,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667952515,2022-11-09 00:08:35 +0000,b696a55e80164ecdcb71059e68ae6204a1f65e5b,FL-20221108_Eday80,10,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 15,15,250558,99,0,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667953197,2022-11-09 00:19:57 +0000,4752cb39f35c63d02e72237179350aec6f014171,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,250558,99,32023,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667953790,2022-11-09 00:29:50 +0000,6070b11d4c3c0a9b2acaa63cc75a94579377e299,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,250558,99,140908,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,250558,99,171379,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667955153,2022-11-09 00:52:33 +0000,5dbf5007b88cfdc60ec0e8e538e0df6eb1e86637,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,250558,99,208764,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,251704,99,216313,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,247837,99,220693,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,247837,99,236783,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,247837,99,220693,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,247837,99,236783,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,FL-20221108_Eday80,10,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 15,15,246588,99,236783,1099383,True,20221108FL10035,2022-11-08,FL,Alan,Cohn,Dem,23255,64154,1,14305,0,Laurel,Lee,GOP,23260,71597,2,15735,0,
