captureTimestamp,captureDateTime,captureRevision,raceID,resultsType,eevp,statePostal,stateName,reportingunitID,reportingunitLevel,pollClosingTime,level,electTotal,lastUpdated,precinctsReporting,precinctsTotal,precinctsReportingPct,candidates.0.candidateID,candidates.0.voteCount,candidates.0.votePct,candidates.1.candidateID,candidates.1.voteCount,candidates.1.votePct,candidates.2.candidateID,candidates.2.voteCount,candidates.2.votePct,candidates.3.candidateID,candidates.3.voteCount,candidates.3.votePct,candidates.4.candidateID,candidates.4.voteCount,candidates.4.votePct,candidates.5.candidateID,candidates.5.voteCount,candidates.5.votePct,candidates.6.candidateID,candidates.6.voteCount,candidates.6.votePct,candidates.7.candidateID,candidates.7.voteCount,candidates.7.votePct,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,parameters.precinctsReportingActual,parameters.precinctsReportingProportional,candidates.0.winner,candidates.0.calledAt,candidates.0.colorIndex,candidates.1.colorIndex
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,20221108VT46373,live,0.0,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-07T22:58:29.353Z,0,283,0.0,53965,0,0.0,54238,0,0.0,54242,0,0.0,53969,0,0.0,54239,0,0.0,54241,0,0.0,54240,0,0.0,54326,0,0.0,239338,99,0,499349,0,0,,,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,20221108VT46373,live,0.0,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-08T19:43:47.163Z,0,283,0.0,53965,0,0.0,54238,0,0.0,54242,0,0.0,53969,0,0.0,54239,0,0.0,54241,0,0.0,54240,0,0.0,54326,0,0.0,322465,99,0,483698,0,0,,,,
1667952254,2022-11-09 00:04:14 +0000,01f078a675119f6cdf4e095b5cc2a41189aff91c,20221108VT46373,live,0.0,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:00:04.409Z,0,283,0.0,53965,0,0.0,54238,0,0.0,54242,0,0.0,53969,0,0.0,54239,0,0.0,54241,0,0.0,54240,0,0.0,54326,0,0.0,322465,99,0,483698,0,0,X,2022-11-09T00:00:02.636Z,0.0,
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,20221108VT46373,live,0.22,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:23:31.273Z,2,283,0.71,53965,443,63.2,53969,219,31.24,54240,11,1.57,54326,8,1.14,54238,7,1.0,54239,5,0.71,54242,4,0.57,54241,4,0.57,322465,99,701,483698,2,1,X,2022-11-09T00:00:02.636Z,0.0,
1667954620,2022-11-09 00:43:40 +0000,390deeca213dc77033625c9727e9139ac530f13c,20221108VT46373,live,0.52,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:41:42.682Z,4,283,1.41,53965,1136,67.74,53969,481,28.68,54240,13,0.78,54238,12,0.72,54239,10,0.6,54242,9,0.54,54326,9,0.54,54241,7,0.42,322465,99,1677,483698,4,1,X,2022-11-09T00:00:02.636Z,0.0,
1667954884,2022-11-09 00:48:04 +0000,8f544a76833fbb21dc3fbc0ce7b73e3714be8529,20221108VT46373,live,0.74,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:46:58.149Z,5,283,1.77,53965,1486,62.67,53969,806,33.99,54240,19,0.8,54238,15,0.63,54242,13,0.55,54239,13,0.55,54241,10,0.42,54326,9,0.38,322465,99,2371,483698,5,2,X,2022-11-09T00:00:02.636Z,0.0,
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,20221108VT46373,live,1.16,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T00:55:24.381Z,7,283,2.47,53965,2520,67.22,53969,1117,29.79,54242,24,0.64,54240,23,0.61,54239,19,0.51,54238,18,0.48,54241,15,0.4,54326,13,0.35,322465,99,3749,483698,7,3,X,2022-11-09T00:00:02.636Z,0.0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,20221108VT46373,live,1.56,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:00:15.206Z,9,283,3.18,53965,3226,64.19,53969,1667,33.17,54242,30,0.6,54240,26,0.52,54239,24,0.48,54326,20,0.4,54238,18,0.36,54241,15,0.3,322465,99,5026,483698,9,4,X,2022-11-09T00:00:02.636Z,0.0,
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,20221108VT46373,live,1.56,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:03:01.809Z,9,283,3.18,53965,3226,64.19,53969,1667,33.17,54242,30,0.6,54240,26,0.52,54239,24,0.48,54326,20,0.4,54238,18,0.36,54241,15,0.3,322465,99,5026,483698,9,4,X,2022-11-09T00:00:02.636Z,0.0,
1667956272,2022-11-09 01:11:12 +0000,e9730fe8cd073de363599251493da8f113e7bb60,20221108VT46373,live,2.09,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:10:27.752Z,11,283,3.89,53965,4065,60.22,53969,2532,37.51,54242,35,0.52,54239,29,0.43,54240,27,0.4,54238,24,0.36,54326,21,0.31,54241,17,0.25,322465,99,6750,483698,11,6,X,2022-11-09T00:00:02.636Z,0.0,
1667956547,2022-11-09 01:15:47 +0000,8138046ce1ccc9e37269480764f23b8c9cec781a,20221108VT46373,live,3.2,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:13:29.578Z,14,283,4.95,53965,6895,66.9,53969,3183,30.88,54242,60,0.58,54241,39,0.38,54238,33,0.32,54239,33,0.32,54240,33,0.32,54326,31,0.3,322465,99,10307,483698,14,9,X,2022-11-09T00:00:02.636Z,0.0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,20221108VT46373,live,4.63,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:19:07.959Z,16,283,5.65,53965,10906,72.98,53969,3664,24.52,54242,113,0.76,54241,66,0.44,54326,61,0.41,54238,51,0.34,54240,45,0.3,54239,38,0.25,322465,99,14944,483698,16,13,X,2022-11-09T00:00:02.636Z,0.0,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,20221108VT46373,live,8.19,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:24:02.262Z,25,283,8.83,53965,18544,70.23,53969,7143,27.05,54242,220,0.83,54326,122,0.46,54241,116,0.44,54239,98,0.37,54238,82,0.31,54240,79,0.3,322465,99,26404,483698,25,23,X,2022-11-09T00:00:02.636Z,0.0,1.0
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,20221108VT46373,live,8.69,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:29:40.012Z,27,283,9.54,53965,19464,69.47,53969,7776,27.76,54242,236,0.84,54326,129,0.46,54241,124,0.44,54239,110,0.39,54240,89,0.32,54238,88,0.31,322465,99,28016,483698,27,25,X,2022-11-09T00:00:02.636Z,0.0,1.0
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,20221108VT46373,live,10.75,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:33:37.334Z,32,283,11.31,53965,23195,66.91,53969,10474,30.22,54242,312,0.9,54326,157,0.45,54241,142,0.41,54240,142,0.41,54239,131,0.38,54238,111,0.32,322465,99,34664,483698,32,30,X,2022-11-09T00:00:02.636Z,0.0,1.0
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,20221108VT46373,live,11.01,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:37:19.522Z,34,283,12.01,53965,23828,67.14,53969,10649,30.0,54242,317,0.89,54326,162,0.46,54241,145,0.41,54240,144,0.41,54239,132,0.37,54238,114,0.32,322465,99,35491,483698,34,31,X,2022-11-09T00:00:02.636Z,0.0,1.0
1667958273,2022-11-09 01:44:33 +0000,4199c67ba64ae17927c85a89877c89e59a577ae0,20221108VT46373,live,11.21,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:43:51.018Z,35,283,12.37,53965,24301,67.2,53969,10831,29.95,54242,323,0.89,54326,164,0.45,54241,148,0.41,54240,144,0.4,54239,137,0.38,54238,114,0.32,322465,99,36162,483698,35,32,X,2022-11-09T00:00:02.636Z,0.0,1.0
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,20221108VT46373,live,11.47,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:46:42.937Z,37,283,13.07,53965,24820,67.09,53969,11121,30.06,54242,328,0.89,54326,168,0.45,54241,150,0.41,54240,145,0.39,54239,144,0.39,54238,118,0.32,322465,99,36994,483698,37,32,X,2022-11-09T00:00:02.636Z,0.0,1.0
1667958843,2022-11-09 01:54:03 +0000,cdc0d2ad2c3afd665dd741c97f9de238aafb3cf6,20221108VT46373,live,25.88,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:53:27.897Z,75,283,26.5,53965,56676,67.91,53969,24212,29.01,54242,755,0.9,54241,394,0.47,54240,388,0.46,54326,388,0.46,54239,329,0.39,54238,315,0.38,322465,99,83457,483698,75,73,X,2022-11-09T00:00:02.636Z,0.0,
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,20221108VT46373,live,26.58,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T01:57:03.829Z,78,283,27.56,53965,58220,67.91,53969,24876,29.02,54242,766,0.89,54326,402,0.47,54240,401,0.47,54241,400,0.47,54239,341,0.4,54238,319,0.37,322465,99,85725,483698,78,75,X,2022-11-09T00:00:02.636Z,0.0,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,20221108VT46373,live,27.66,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:00:13.257Z,80,283,28.27,53965,60321,67.62,53969,26160,29.33,54242,786,0.88,54240,423,0.47,54241,412,0.46,54326,412,0.46,54239,360,0.4,54238,332,0.37,322465,99,89206,483698,80,78,X,2022-11-09T00:00:02.636Z,0.0,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,20221108VT46373,live,27.77,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:03:47.699Z,81,283,28.62,53965,60572,67.63,53969,26258,29.32,54242,787,0.88,54240,427,0.48,54326,413,0.46,54241,412,0.46,54239,360,0.4,54238,332,0.37,322465,99,89561,483698,81,79,X,2022-11-09T00:00:02.636Z,0.0,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,20221108VT46373,live,28.3,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:08:20.784Z,83,283,29.33,53965,61981,67.92,53969,26507,29.05,54242,800,0.88,54240,430,0.47,54241,421,0.46,54326,418,0.46,54239,364,0.4,54238,337,0.37,322465,99,91258,483698,83,80,X,2022-11-09T00:00:02.636Z,0.0,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,20221108VT46373,live,30.0,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:14:51.611Z,87,283,30.74,53965,65019,67.21,53969,28561,29.52,54242,853,0.88,54240,666,0.69,54326,456,0.47,54241,442,0.46,54239,383,0.4,54238,359,0.37,322465,99,96739,483698,87,85,X,2022-11-09T00:00:02.636Z,0.0,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,20221108VT46373,live,30.66,VT,Vermont,46,1,2022-11-09T00:00:00.000Z,state,0,2022-11-09T02:21:34.581Z,89,283,31.45,53965,66233,66.98,53969,29436,29.77,54242,870,0.88,54240,677,0.68,54326,462,0.47,54241,449,0.45,54239,393,0.4,54238,363,0.37,322465,99,98883,483698,89,87,X,2022-11-09T00:00:02.636Z,0.0,
