captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,candidates.53965.first,candidates.53965.last,candidates.53965.party,candidates.53965.candidateID,candidates.53965.ballotOrder,candidates.53965.polID,candidates.53965.polNum,candidates.53965.electWon,candidates.53969.first,candidates.53969.last,candidates.53969.party,candidates.53969.candidateID,candidates.53969.ballotOrder,candidates.53969.polID,candidates.53969.polNum,candidates.53969.electWon,candidates.54238.first,candidates.54238.last,candidates.54238.party,candidates.54238.candidateID,candidates.54238.ballotOrder,candidates.54238.polID,candidates.54238.polNum,candidates.54238.electWon,candidates.54239.first,candidates.54239.last,candidates.54239.party,candidates.54239.candidateID,candidates.54239.ballotOrder,candidates.54239.polID,candidates.54239.polNum,candidates.54239.electWon,candidates.54240.first,candidates.54240.last,candidates.54240.party,candidates.54240.candidateID,candidates.54240.ballotOrder,candidates.54240.polID,candidates.54240.polNum,candidates.54240.electWon,candidates.54241.first,candidates.54241.last,candidates.54241.party,candidates.54241.candidateID,candidates.54241.ballotOrder,candidates.54241.polID,candidates.54241.polNum,candidates.54241.electWon,candidates.54242.first,candidates.54242.last,candidates.54242.party,candidates.54242.candidateID,candidates.54242.ballotOrder,candidates.54242.polID,candidates.54242.polNum,candidates.54242.electWon,candidates.54326.first,candidates.54326.last,candidates.54326.abbrv,candidates.54326.party,candidates.54326.candidateID,candidates.54326.ballotOrder,candidates.54326.polID,candidates.54326.polNum,candidates.54326.electWon,candidates.53965.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,VT-20221108_Eday80,46,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,239338,99,0,499349,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,VT-20221108_Eday80,46,General,G,Awaiting Poll Close,Too Early to Call,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,0,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,
1667952827,2022-11-09 00:13:47 +0000,e67364b5505081c4cca0f28ef8e8d84768d1cc02,VT-20221108_Eday80,46,General,G,Polls Closed/Waiting First Report,Called,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,0,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,2022-11-09T00:00:02.636Z
1667953518,2022-11-09 00:25:18 +0000,c5fd4e03c2339afc5fd044a64f91f261b7e7cfa1,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,701,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,2022-11-09T00:00:02.636Z
1667955430,2022-11-09 00:57:10 +0000,e9bf9bc2954735d2abe72015bd1ac602b27e7679,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,2371,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,2022-11-09T00:00:02.636Z
1667956006,2022-11-09 01:06:46 +0000,01cc2f6d0039b2fcb59e03eced60e58dcb253844,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,5026,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,2022-11-09T00:00:02.636Z
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,14944,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,2022-11-09T00:00:02.636Z
1667957993,2022-11-09 01:39:53 +0000,af6b7ce58befb45bf1dd57f93615d5da519d3770,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,35164,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,2022-11-09T00:00:02.636Z
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,36994,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,2022-11-09T00:00:02.636Z
1667959124,2022-11-09 01:58:44 +0000,ebdb2f4efab49b8071a842b145008e58069ff969,VT-20221108_Eday80,46,General,G,Active Tabulation,Called,S,U.S. Senate,Patrick,Leahy,Leahy,Dem,51971,1760,48564,True,True,True,322465,99,57783,483698,True,20221108VT46373,2022-11-08,VT,Peter,Welch,Dem,53965,8,58883,48621,0,Gerald,Malloy,GOP,53969,6,71174,50345,0,Ms. Cris,Ericson,Ind,54238,5,1158,49330,0,Mark,Coester,Ind,54239,1,71696,50375,0,Kerry,Raheb,Ind,54240,7,71697,50468,0,Stephen,Duke,Ind,54241,3,71698,50467,0,Dawn,Ellis,Ind,54242,4,71695,49694,0,Natasha,Diamondstone-Kohout,Dmndstn,GPJ,54326,2,71781,50481,0,2022-11-09T00:00:02.636Z
