captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.13061.first,candidates.13061.last,candidates.13061.incumbent,candidates.13061.party,candidates.13061.candidateID,candidates.13061.ballotOrder,candidates.13061.polID,candidates.13061.polNum,candidates.13061.electWon,candidates.13882.first,candidates.13882.last,candidates.13882.party,candidates.13882.candidateID,candidates.13882.ballotOrder,candidates.13882.polID,candidates.13882.polNum,candidates.13882.electWon,candidates.14099.first,candidates.14099.last,candidates.14099.party,candidates.14099.candidateID,candidates.14099.ballotOrder,candidates.14099.polID,candidates.14099.polNum,candidates.14099.electWon,candidates.14100.first,candidates.14100.last,candidates.14100.party,candidates.14100.candidateID,candidates.14100.ballotOrder,candidates.14100.polID,candidates.14100.polNum,candidates.14100.electWon,candidates.14101.first,candidates.14101.last,candidates.14101.party,candidates.14101.candidateID,candidates.14101.ballotOrder,candidates.14101.polID,candidates.14101.polNum,candidates.14101.electWon,candidates.13061.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,341185,99,0,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 2,2,339060,99,0,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,CO-20221108_Eday80,6,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 2,2,339060,99,0,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,339060,99,86597,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667961990,2022-11-09 02:46:30 +0000,34fd47cd084122fe0c5fed09f89e8cc11319e728,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,339060,99,105597,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667963668,2022-11-09 03:14:28 +0000,504ec01bb7ea4ec861b67f44aa636e0055b5ba3d,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,339060,99,111724,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,339060,99,138410,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,338830,99,206376,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 2,2,338830,99,206380,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 2,2,338830,99,206438,970368,True,20221108CO6614,2022-11-08,CO,13061,Joe,Neguse,True,Dem,13061,1,67047,8893,0.0,Marshall,Dawson,GOP,13882,2,70788,9635,0.0,Gary,Nation,AmC,14099,3,71792,9790,0.0,Tim,Wolf,Uty,14100,4,71790,9791,0.0,Steve,Yurash,Oth,14101,5,71791,9792,0.0,2022-11-09T03:56:05.806Z,
