captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,description,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.63499.first,candidates.63499.last,candidates.63499.abbrv,candidates.63499.party,candidates.63499.candidateID,candidates.63499.polID,candidates.63499.ballotOrder,candidates.63499.polNum,candidates.63499.electWon,candidates.63500.first,candidates.63500.last,candidates.63500.abbrv,candidates.63500.party,candidates.63500.candidateID,candidates.63500.polID,candidates.63500.ballotOrder,candidates.63500.polNum,candidates.63500.electWon,candidates.63501.first,candidates.63501.last,candidates.63501.party,candidates.63501.incumbent,candidates.63501.candidateID,candidates.63501.polID,candidates.63501.ballotOrder,candidates.63501.polNum,candidates.63501.electWon,candidates.63501.winnerDateTime
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,TX-20221108_Eday62,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Central Austin,True,District 37,37,307067,99,0,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,TX-20221108_Eday80,44,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,Central Austin,True,District 37,37,309958,99,0,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,
1667955702,2022-11-09 01:01:42 +0000,f6f1267e463cf8ecb93583f1dab12bfae681d775,TX-20221108_Eday80,44,General,G,Active Tabulation,Too Early to Call,H,U.S. House,Central Austin,True,District 37,37,309958,99,0,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,
1667956832,2022-11-09 01:20:32 +0000,83b25784602daed92be104db5cf5a6446230f2d5,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Central Austin,True,District 37,37,309958,99,208738,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,2022-11-09T01:13:41.237Z
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Central Austin,True,District 37,37,309958,99,236970,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,2022-11-09T01:13:41.237Z
1667968451,2022-11-08 22:34:11 -0600,ec7c4c2fbdf80046dac3b25dd67b45de79385a9e,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Central Austin,True,District 37,37,309958,99,237759,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,2022-11-09T01:13:41.237Z
1667970156,2022-11-08 23:02:36 -0600,84ea53799ae0036a04ac85127e62d719394c963e,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Central Austin,True,District 37,37,309958,99,265207,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,2022-11-09T01:13:41.237Z
1667971839,2022-11-08 23:30:39 -0600,3cda52854e51a6576b7495d3201be6e474dda96c,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Central Austin,True,District 37,37,309958,99,268173,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,2022-11-09T01:13:41.237Z
1667972634,2022-11-08 23:43:54 -0600,3031aa1b4c4f867ee3a729dc96e8d9a1d63eee32,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Central Austin,True,District 37,37,303781,99,268173,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,2022-11-09T01:13:41.237Z
1667974664,2022-11-09 00:17:44 -0600,d987a91643923201706646f74ed6cc4da6a088a6,TX-20221108_Eday80,44,General,G,Active Tabulation,Called,H,U.S. House,Central Austin,True,District 37,37,303781,99,284029,629094,True,20221108TX49950,2022-11-08,TX,63501,Clark,Patterson,Pattersn,Lib,63499,62187,2,51052,0,Jenny,Garcia Sharon,GarcShrn,GOP,63500,68139,3,52589,0,Lloyd,Doggett,Dem,True,63501,292,1,47086,0,2022-11-09T01:13:41.237Z
