captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,incumbents.0.first,incumbents.0.last,incumbents.0.abbrv,incumbents.0.party,incumbents.0.candidateID,incumbents.0.polID,incumbents.0.polNum,national,state,keyRace,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.29915.first,candidates.29915.last,candidates.29915.incumbent,candidates.29915.party,candidates.29915.candidateID,candidates.29915.ballotOrder,candidates.29915.polID,candidates.29915.polNum,candidates.29915.electWon,candidates.31050.first,candidates.31050.last,candidates.31050.party,candidates.31050.candidateID,candidates.31050.ballotOrder,candidates.31050.polID,candidates.31050.polNum,candidates.31050.electWon,candidates.31449.first,candidates.31449.last,candidates.31449.party,candidates.31449.candidateID,candidates.31449.ballotOrder,candidates.31449.polID,candidates.31449.polNum,candidates.31449.electWon,candidates.29915.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,ME-20221108_Eday80,20,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,0,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667957119,2022-11-09 01:25:19 +0000,6d7ee88678b17ac3babfbeca22c88d840ddf7ac8,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,28,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667957430,2022-11-09 01:30:30 +0000,03f90a735487a191903970f5b59ebf51d460c3e0,ME-20221108_Eday80,20,General,G,Awaiting Poll Close,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,0,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667957715,2022-11-09 01:35:15 +0000,97cbc8b93cc842818a0fba948144842c3e8d51f0,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,1625,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667958559,2022-11-09 01:49:19 +0000,0a6694bb1cdd9734aff1178f6a5894d33a1a95cc,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,2885,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667959410,2022-11-09 02:03:30 +0000,98a277291480f2bee1271d939218798a5aa6ad2a,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,11619,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667959699,2022-11-09 02:08:19 +0000,204acec220204cf7636f9483a8300da582a314fa,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,13464,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667959981,2022-11-09 02:13:01 +0000,f7108f15221a3f4ac4310e0ba678593081137a5c,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,11619,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,28692,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
1667960540,2022-11-09 02:22:20 +0000,8f457dad835364421624abf7a3b05a9acf49f0bd,ME-20221108_Eday80,20,General,G,Active Tabulation,Too Early to Call,G,Governor,Janet,Mills,Mills,Dem,29915,54894,25767,True,True,True,675000,99,43037,1117007,True,20221108ME20646,2022-11-08,ME,29915,Janet,Mills,True,Dem,29915,3,54894,25767,0,Paul,LePage,GOP,31050,2,60414,24392,0,Sam,Hunkler,Ind,31449,1,71290,26450,0,,
