captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.12200.first,candidates.12200.last,candidates.12200.incumbent,candidates.12200.party,candidates.12200.candidateID,candidates.12200.ballotOrder,candidates.12200.polID,candidates.12200.polNum,candidates.12200.electWon,candidates.13881.first,candidates.13881.last,candidates.13881.party,candidates.13881.candidateID,candidates.13881.ballotOrder,candidates.13881.polID,candidates.13881.polNum,candidates.13881.electWon,candidates.14098.first,candidates.14098.last,candidates.14098.abbrv,candidates.14098.party,candidates.14098.candidateID,candidates.14098.ballotOrder,candidates.14098.polID,candidates.14098.polNum,candidates.14098.electWon,candidates.12200.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,CO-20221108_Eday80,6,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 1,1,240023,99,0,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,240023,99,0,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,,
1667960816,2022-11-09 02:26:56 +0000,8a1624065b18c7c6c4408259c296b51116c46c3f,CO-20221108_Eday80,6,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 1,1,240023,99,0,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,,
1667961093,2022-11-09 02:31:33 +0000,1ec6490691d550bb25c67a95029d41260dad9223,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,240023,99,106710,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,,
1667964559,2022-11-09 03:29:19 +0000,9953e63a0357b9189618b1f7ef238581cfdffcbb,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,240023,99,108226,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,CO-20221108_Eday80,6,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 1,1,240023,99,112403,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,240023,99,112403,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,2022-11-09T03:55:55.142Z,
1667970944,2022-11-08 23:15:44 -0600,ade12abccb70834d17788a299f1a5de3ad7d230d,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,240023,99,119359,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,2022-11-09T03:55:55.142Z,
1667971699,2022-11-08 23:28:19 -0600,ab5f2b666bd1b9bf6989ccd1e80db43497d771dc,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,240023,99,119403,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,2022-11-09T03:55:55.142Z,
1667975484,2022-11-09 00:31:24 -0600,81d3631081e4e7b24b990567f86cc67079a95e6c,CO-20221108_Eday80,6,General,G,Active Tabulation,Called,H,U.S. House,True,District 1,1,240023,99,125308,746272,True,20221108CO7191,2022-11-08,CO,12200,Diana,DeGette,True,Dem,12200,1,734,6364,0,Jennifer,Qualteri,GOP,13881,2,70787,9634,0,John,Kittleson,Kittlesn,Lib,14098,3,71789,9789,0,2022-11-09T03:55:55.142Z,
