captureTimestamp,captureDateTime,captureRevision,eventID,stateID,raceType,raceTypeID,tabulationStatus,raceCallStatus,officeID,officeName,national,seatName,seatNum,parameters.vote.expected.actual,parameters.vote.expected.eevpCap,parameters.vote.total,parameters.vote.registered,isUpdated,raceID,electionDate,statePostal,incumbentID,candidates.34175.first,candidates.34175.last,candidates.34175.abbrv,candidates.34175.incumbent,candidates.34175.party,candidates.34175.candidateID,candidates.34175.ballotOrder,candidates.34175.polID,candidates.34175.polNum,candidates.34175.electWon,candidates.34798.first,candidates.34798.last,candidates.34798.party,candidates.34798.candidateID,candidates.34798.ballotOrder,candidates.34798.polID,candidates.34798.polNum,candidates.34798.electWon,candidates.35275.first,candidates.35275.last,candidates.35275.party,candidates.35275.candidateID,candidates.35275.ballotOrder,candidates.35275.polID,candidates.35275.polNum,candidates.35275.electWon,candidates.34175.winnerDateTime,isCertified
1667886761,2022-11-08 05:52:41 +0000,454ce019f86614717daba988180b8577e032630f,MN-20221108_Eday80,24,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,311977,99,0,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667944347,2022-11-08 21:52:27 +0000,05a3e91e497cb8d3251b3f2f481fd479b6ed8cc7,MN-20221108_Eday80,24,General,G,Awaiting Poll Close,Too Early to Call,H,U.S. House,True,District 7,7,308126,99,0,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667960264,2022-11-09 02:17:44 +0000,e239f4bcca07deff3069ebbdd016fa8b8d41d752,MN-20221108_Eday80,24,General,G,Polls Closed/Waiting First Report,Too Early to Call,H,U.S. House,True,District 7,7,308126,99,0,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667961378,2022-11-09 02:36:18 +0000,38867b5c6238941f5844472df77322f71d62b761,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,308126,99,0,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667962272,2022-11-09 02:51:12 +0000,22cc2cb364805735e8373437043abe797d3cbbf4,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,308126,99,1512,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667963396,2022-11-09 03:09:56 +0000,6a46c0776c43a17d759f81499ba9ed2e8d7622fc,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,308126,99,1700,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667964227,2022-11-09 03:23:47 +0000,1cb90b95cdd6c1be23968f2b7d9618a95c5a5ad9,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,308126,99,8082,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667965711,2022-11-09 03:48:31 +0000,3f97935f76145660588ec69d4480a824e21e2bd4,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,308126,99,31808,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667966989,2022-11-09 04:09:49 +0000,47c6fd3e525919b429e23d0446afd1809e9c353c,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,308126,99,51045,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
1667967269,2022-11-09 04:14:29 +0000,68d92bf23b94b96637a56b0d567d37a581d41ead,MN-20221108_Eday80,24,General,G,Active Tabulation,Too Early to Call,H,U.S. House,True,District 7,7,301599,99,72915,1706030,True,20221108MN24025,2022-11-08,MN,34175,Michelle,Fischbach,Fischbch,True,GOP,34175,2,55298,25425,0,Jill,Abahsain,Dem,34798,3,71243,29084,0,Travis,Johnson,LMN,35275,1,71649,29586,0,,
